specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,source
RSA0065634,1236301,2015-03-19,2015,3,19,78,,,Los Angeles County,"San Gabriel Mountains: Arrastre Canyon, south of Acton.","Fire burned a few years ago, through low hills of Adenostoma fasciculatum. Riparian habitat along creek. Growing on slopes.",846,34.42758,-118.18402,,,,cch2
SBBG164524,125161,1973-03-14,1973,3,14,73,menziesii,,Santa Barbara,"El Mirasol block between Sola and Micheltorena streets, Santa Barbara",,,34.4293,-119.706,500,,,cch2
OBI106029,196205,1973-03-14,1973,3,14,73,,,Santa Barbara,"In ""organic garden"", El Mirasol block between Sola and Micheltorena Sts, Santa Barbara",,,34.4293,-119.706,1000,,,cch2
SBBG164526,93167,1965-04-17,1965,4,17,107,menziesii,Flowers Present,Santa Barbara,Santa Ynez Mtns: Los Padres National Forest; E fork of Cold Spring Cyn,along trail (Coyote Fire Sep 1964),,34.465,-119.65,3,,,cch2
SD00010476,500314,2014-04-04,2014,4,4,94,menziesii,FL,Los Angeles,"Western Mojave Desert, approx 3.3 km northeast of Valyermo along Bob's Gap Road approx. 1.6 km southeast of the aqueduct.",,1126,34.46542,-117.82326,,,,cch2
RSA0042499,1226468,2014-04-04,2014,4,4,94,,,Los Angeles County,"Western Mojave Desert, approx. 3.3 km northeast of Valyermo along Bob's Gap Road approx. 1.6 km southeast of the aqueduct",Joshua tree woodland,1126,34.46542,-117.82326,,,,cch2
RSA0003798,1146614,1906-04-29,1906,4,29,119,,,San Bernardino County,"Dead Man's Point, near Victorville, alt. 925 m.",,,34.473101,-117.124596,2000,,,cch2
SBBG164525,70368,1928-03-25,1928,3,25,85,menziesii,Flowers Present,Santa Barbara,Santa Ynez Mtns: Gaviota Pass,,,34.4895,-120.225,500,,,cch2
OBI106060,196210,1965-03-22,1965,3,22,81,,,Santa Barbara,"Blue Cyn, N slope, Santa Ynez Mts",,,34.4916,-119.5865,50,,,cch2
RSA0049807,1117617,2014-03-28,2014,3,28,87,,,San Bernardino County,"Granite Mountains; to the east of Apple Valley, approximately 3.5 air miles northwest of Rabbit Dry Lake, and about 1 air mile south of Amaral Spring.",Collecting in a rugged granitic bouldery area with small spring.,1225,34.50565,-117.06247,,,,cch2
SBBG164529,149846,2003-04-05,2003,4,5,95,menziesii,Flowers Present,Ventura,"Los Padres National Forest; N border of Sespe Condor Sanctuary, vicinity of Ant Camp on Agua Blanca Crk",silty loam; partial shade; southern oak woodland,884,34.5767,-118.8861,500,,,cch2
SBBG164500,130538,1929-03-29,1929,3,29,88,menziesii,Flowers Present,Santa Barbara,Santa Ynez Valley: Buellton to Lompoc,field,,34.664,-120.333,12,,,cch2
SD00010482,500260,1997-03-21,1997,3,21,80,menziesii,FL,Los Angeles,"Portal Ridge, upper Broad Canyon, ca. 1.0 mile east of VABM King and 1.2 mile east of the junction of Forest Service Roads 7N07 and 7N07A, along the ridgeline diving Bleich Canyon and Broad Canyon.",Decomposed granite substrate.,1195,34.70639,-118.48083,,,,cch2
SBBG164522,44681,1928-04-04,1928,4,4,95,menziesii,Flowers Present,Santa Barbara,Solomon Hills: Foxen Cyn,bank,,34.778,-120.155,3,,,cch2
OBI106031,196232,1995-03-16,1995,3,16,75,menziesii,,Santa Barbara,"Vandenberg AFB. NE part of base, along NW side of Calif hwy 1, 0.7-1.6 mi NE of intersection with San Antonio Rd W","Hills and valley on ancient consolidated sand dunes. Mosaic of coastal scrub, coastal live oak woodland, chaparral, and grassland; Very loc in grassy opening",,34.7795,-120.4273,1500,,,cch2
SD00010661,500316,2013-03-30,2013,3,30,89,integrifolia,FL,San Bernardino,"HAD83; Granite Mountains; Mohave National Preserve, 0.8 mile north of Gate into UC reserve campground near mouth of Cottoonwood Basin.",,1160,34.83282,-115.64653,,,,cch2
OBI106048,196217,1997-04-05,1997,4,5,95,,,Kern,Bitter Crk Natl Wildlife Refuge. Near Cerro Noroeste Rd where rd to Red lake intersects,In grassland ; Loc common,,34.861591,-119.213581,14747,,,cch2
SBBG164511,76240,2010-04-10,2010,4,10,100,menziesii,,Ventura,"Cerro Noreste Rd, vicinity of Valle Vista Campground, W flank of Mt Abel, Los Padres National Forest.",Clay loam; N-facing rd cut; part shade; grassland,1469,34.87801,-119.34137,200,,,cch2
SD00026955,3641148,2010-04-10,2010,4,10,100,menziesii,FL,Ventura,"Los Padres National Forest. San Emigdio Mtns, Cerro Noroeste road, Vicinity of Valle Vista Campground, W Flank of Mt Abel.",Clay loam; N-facing road cut; part shade.,1469,34.87801,-119.34137,,,,cch2
RSA0077591,1191656,2011-04-24,2011,4,24,114,,,Kern County,Bitter Creek National Wildlife Refuge; about 5.2 air miles SE of the junction of Hwy 33 and Hudson Ranch Road (formerly Cerro Noroeste Rd.); SW side of Hudson Ranch Road.,"Moderate NE facing slope wither herbaceous vegetation dominated by Poa secunda, Bromus diandrus, Balsamorhiza deltoidea, Elymus elymoides, Plectritis ciliosa.",1372,34.9021,-119.3897,,,,cch2
RSA0093736,1224670,2010-04-14,2010,4,14,104,,,Kern County,"Tehachapi Mountains. Canyon del Gato Montes, above confluence with Canyon del Agua Escondida.",Canyon bottom at toe of N-facing slope; partial shade at edge of oak clump.,1442,34.91,-118.63167,,,,cch2
RSA0093734,660621,2010-04-14,2010,4,14,104,,,Kern County,"Tehachapi Mountains. head of Canyon del Gato Montes, near foot of road over ridge toward Canyon de la Lecheria.","Gentle alluvial slope; open area with Eriogonum wrightii, E. fasciculatum polif., Festuca micristachys. Bordered by Quercus chrysolepis thickets. On flats among low shrubs (Eriog. wri. & E. fasc.).",1613,34.91889,-118.64028,,,,cch2
SBBG164527,52573,1964-04-03,1964,4,3,94,menziesii,Flowers Present,Santa Barbara,Colson Cyn,woodland; shaded N slope,335,34.942,-120.1995,5,,,cch2
SBBG164505,112404,1950-03-18,1950,3,18,77,menziesii,Flowers Present,Kern,"Soda Lake Rd to Carrizo Plain, ca. 0.8 mi off Hwy 399 near SLO County line",,,34.971165,-119.455567,500,,,cch2
OBI106052,196193,1950-03-18,1950,3,18,77,,,Kern,"Along Soda Lake Rd to Carrizo Plain, about 0.8 mi off hwy 399. Near San Luis Obispo county line",,,34.971205,-119.455334,657,,,cch2
SBBG164515,70425,1974-02-17,1974,2,17,48,menziesii,Flowers Present,San Luis Obispo,"Grand View Mesa, Nipomo","sandy soil, open fields",,35.01,-120.48,1000,,,cch2
OBI106018,196233,2005-03-24,2005,3,24,83,,,San Luis Obispo,SE half of the Caliente Range. Approx 1.6 km NNW of Wells Cyn,"Semi-desert scrub. NE facing slope dom by Juniperus californica, Eriogonum fasciculatum var. polifolium, and Ericameria linearifolia; Occ in mesic locations",,35.027778,-119.665278,,,,cch2
OBI106023,196200,1998-05-22,1998,5,22,142,menziesii,,San Luis Obispo,Caliente Range. Along Caliente Ridge Rd. between wildlife guzzler (35°03.432' N x 119°46.937' W) and Caliente Peak.,Juniper-desert scrub oak woodland.; Occasional.,1554,35.045615,-119.7714,1000,,,cch2
OBI106054,196223,1958-03-19,1958,3,19,78,,,San Luis Obispo,"Carrizo Plain, nea N base of Caliente Mt",,,35.084389,-119.752739,3783,,,cch2
OBI106035,196226,1956-04-06,1956,4,6,97,,,San Luis Obispo,Los Berros Cyn approx 4 mi N of Nipomo,,,35.09084,-120.46303,3290,,,cch2
OBI106026,196215,1982-04-04,1982,4,4,94,,,San Luis Obispo,"Huasna Rd, 1/2 mi NW of where the Huasna River crosses the rd",Oak woodland with grassy understory. Soil of Santa Margarita formation type; Scattered in grasslands,,35.12639,-120.4025,500,,,cch2
SD00010494,500085,1935-03-23,1935,3,23,82,,FL,Kern,South of Arvin,,,35.17997,-118.83301,,,,cch2
SBBG164507,42672,1967-04-30,1967,4,30,120,menziesii,Flowers Present,Kern,near Tehachapi Loop monument on old Tehachapi Hwy,slope,,35.195066,-118.534846,200,,,cch2
OBI106019,196209,1979-04-04,1979,4,4,94,,,San Luis Obispo,Indian Knob Tar Sands,"Near the ecotone between southern coastal grassland and coastal live oak woodland. With Platystemon californicum, lupinus nanus, Ranunculus californica; Relatively abundant",,35.197821,-120.66211,800,,,cch2
OBI106021,196234,1979-04-04,1979,4,4,94,,,San Luis Obispo,Indian Knob Tar Sands,"Near the ecotone between southern coastal grassland and coastal live oak woodland. With Platystemon californicum, lupinus nanus, Ranunculus californica; Relatively abundant",,35.197821,-120.66211,800,,,cch2
OBI106038,196189,1967-05-06,1967,5,6,126,,,San Luis Obispo,Avenales Wildlife refuge,Grassland,,35.2055285,-120.1912599,18747,,,cch2
OBI106033,196218,1968-04-06,1968,4,6,97,,,San Luis Obispo,On hill on W side of Carrizo Plain due W of Soda lake's southern end,In rocky soil on N facing slope,,35.206217,-119.881875,3623,,,cch2
OBI106028,196220,1964-02-29,1964,2,29,60,,,San Luis Obispo,"Routzahn Park Rd, approx 11 mi from SLO",,,35.207788,-120.470393,3873,,,cch2
OBI106055,196219,1966-04-03,1966,4,3,93,,,San Luis Obispo,Lopez Cyn near the 15th or 16 crk crossing,In grassy clearing near the roadside with maple and oak trees beyond the grassy clearing,,35.279519,-120.540786,3205,,,cch2
SBBG164516,127641,1979-04-08,1979,4,8,98,menziesii,Flowers Present,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,"alkaline soil, field & roadside",579,35.2993,-119.9771,500,,,cch2
OBI106040,196195,1979-04-08,1979,4,8,98,,,San Luis Obispo,2 mi S of California Valley along Soda Lake Rd,Alkaline field and roadside; Loc common,579,35.2993,-119.9771,500,,,cch2
SD00010478,500306,2008-03-25,2008,3,25,85,,FL,San Luis Obispo,North of Carrizo Plain National Monument. Along Soda Lake Road between College and Belmont Streets.,,591,35.30722,-119.98611,,,,cch2
SBBG164509,156099,1991-04-12,1991,4,12,102,menziesii,Flowers Present,San Luis Obispo,"Los Padres National Forest; East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit","rocky soil, meadow; 4 deg SE-facing slope",610,35.339,-120.617,1000,,,cch2
OBI106022,196190,1978-03-01,1978,3,1,60,,,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim soda lake san diego cr rd","Valley grassland, with lots of filaree and distichlis; Common in grassy fields",,35.351177,-120.005123,596,,,cch2
OBI106027,196191,1978-03-01,1978,3,1,60,,,San Luis Obispo,"Carrizo Plain, 1 mi S of the jctn of hwy 58 and Sim. soda lake san diego cr rd","Valley grassland, with lots of filaree and distichlis; Common in grassy fields",,35.351177,-120.005123,596,,,cch2
OBI106049,196222,1952-04-08,1952,4,8,99,,,San Luis Obispo,La Panza District,"On open hillside, in coarse sandy soil containing clay",,35.379759,-120.285566,3000,,,cch2
OBI106024,196213,1986-05-06,1986,5,6,126,,,San Luis Obispo,Santa Margarita Ranch. Estadio field in E part of the ranch where a large stand of blue oaks occur on slopes of decomposed limestone,Occ common in open areas,,35.402195,-120.612946,2094,,,cch2
SBBG164508,37998,1968-04-30,1968,4,30,121,menziesii,Flowers Present,Kern,Rankin Ranch logging rd up Breckenridge Mtn,,1859,35.418,-118.579,1000,,,cch2
OBI106039,196203,1971-03-09,1971,3,9,68,,,San Luis Obispo,3 mi NE of Santa Margarita,"Foothill oak woodland, soil, sandy",274,35.418043,-120.568649,1486,,,cch2
OBI106032,196228,1978-04-16,1978,4,16,106,,,San Luis Obispo,Off hwy 58 near hwy 127 turnoff,"In pasture, oak woodland",,35.434689,-120.494125,37721,,,cch2
OBI106061,196197,1985-03-31,1985,3,31,90,,,San Luis Obispo,Along hwy 58 ca 100 m E of jctn with Huerhuero Rd,"Woodland dom by Quercus turbinella, Q. douglasii, and Juniperus californica. Grassy understory; Loc abundant",,35.438108,-120.493918,148,,,cch2
SBBG164514,84545,1973-04-11,1973,4,11,101,menziesii,Flowers Present,San Luis Obispo,St Highway 58 near Shell Crk,,,35.4585,-120.3335,1000,,,cch2
OBI106025,196196,1981-04-24,1981,4,24,114,,,San Luis Obispo,Jctn of Shell Crk Rd and Calif hwy 58 S of Shandon,Foothill woodland area with riparian zone and open grassy fields. No surface flow in the stream. Grassland areas lightly grazed; Abundant in grassy fields,,35.45983,-120.33394,305,,,cch2
OBI106063,196198,1995-04-15,1995,4,15,105,,,San Luis Obispo,"Shell Crk, ca 1/2 mi N of jctn with Calif rte 58","Foothill woodland and chaparral, scrub, and grassland areas; Loc common in flat areas",450,35.46411,-120.33005,221,,,cch2
SBBG164518,141596,1971-04-08,1971,4,8,98,menziesii,Flowers Present,San Luis Obispo,6 mi N of Cayucos,open slope near top of hill; sedimentary deposits,518,35.473,-120.984,2,,,cch2
OBI106037,196202,1952-03-23,1952,3,23,83,,,San Luis Obispo,"Shell Crk. 3 mi E 12 mi S, Shandon","Light sandy soil, cyn floor",,35.481179,-120.321879,9224,,,cch2
OBI106053,196204,1971-04-08,1971,4,8,98,,,San Luis Obispo,Near top of hill in area of sedimentary deposits. 6 mi N of Cayucos,,518,35.543942,-120.896932,800,,,cch2
RSA0073853,1003738,2015-03-07,2015,3,7,66,,,Kern County,"Horse Canyon. West side of canyon, near the mouth of the canyon. Near primitive campsite.",Base of ridge.,1203,35.54837,-118.04398,,,,cch2
OBI106056,196194,1978-03-19,1978,3,19,78,,,Kern,"Along State hwy 178 in Kern River Cyn area, 8 mi W of jctn with Bodfish Rd",Hillside with scattered Pinus sabiniana and Quercus wislizenii. Common shrubs include Eriogonum fasciculatum and Chrysothamnus nauseosus. Many ephemerals; Loc abundant in open sites,701,35.570441,-118.568642,4315,,,cch2
RSA0073849,902970,2015-03-21,2015,3,21,80,,,Kern County,"Near Rocky Point, small canyon south of Cane Canyon. East of Kelso Valley Road. South of old mining road.",Desert scrubland. Junipers and Yucca brevifolia.,1028,35.57886,-118.23388,,,,cch2
SBBG164517,111939,1962-04-07,1962,4,7,97,menziesii,Flowers Present,San Luis Obispo,"Goldtree Hills, 0.5 mi SW of Grant Lake",gravelly-adobe; steep N slope,602,35.5935,-120.152,1000,,,cch2
RSA0067586,1038115,2014-04-26,2014,4,26,116,,,Kern County,Scodie Canyon. At the end of the U.S. Fish and Wildlife Ecological Reserve.,On bank of wash.,1222,35.64018,-118.18436,,,,cch2
OBI106051,196224,1962-04-01,1962,4,1,91,,,San Luis Obispo,About 4 mi E of Cholame,"In low hills on poor rocky soil. Abunant rainfall this year the first good year in many years. Fields covered with blues, oranges and yellows",,35.724109,-120.225261,3565,,,cch2
SBBG164523,63687,1938-04-25,1938,4,25,115,menziesii,Flowers Present,Tulare,jacks Ranch near Posey Post Office,,,35.805,-118.681,,,,cch2
OBI106062,196214,1988-02-02,1988,2,2,33,,,Tulare,"Pixley natl Wildlife Refuge, San Joaquin Valley. SESW sec 23",Wildlife habitat exclosure. No livestock grazing. Dense grassland veg with mostly course textured soil; Rare except small patch in SE part of exclosure,61,35.918675,-119.374004,4689,,,cch2
SBBG164528,91202,1940-03-24,1940,3,24,84,menziesii,Flowers Present,Fresno,"Curry Mtn, Waltham Cyn [Warthan Cyn]), 9 mi SW of Coalinga",N slope,488,36.0942,-120.4711,1000,,,cch2
SBBG164504,79215,1961-03-10,1961,3,10,69,menziesii,Flowers Present,Fresno,jacalitos Cyn near Coalinga,N slope of hillside,,36.1015,-120.311,2,,,cch2
SBBG164498,132327,2017-04-22,2017,4,22,112,menziesii,,Monterey,"[Tassajara Rd, near Chews Ridge Rd]","sparse forest, one year post burn; S-facing 5-10 deg slope",1475,36.3125,-121.5725,200,,,cch2
OBI106020,196206,1933-04-30,1933,4,30,120,,,Monterey,"Santa Lucia mts, 6 mi from Carmel; N base of Santa Lucia Mts; 5 mi from ocean",Ravine in Carmel Valley,30,36.527035,-121.835454,9491,,,cch2
SBBG164512,58338,2017-04-05,2017,4,5,95,menziesii,Flowers Present,San Benito,"[W of Cedar Flat, Griswold Hills]",open meadows; N-facing 30-40 deg slope,715,36.5567,-120.8108,200,,,cch2
OBI106059,196227,1965-03-20,1965,3,20,79,,,Fresno,"Along the Fresno side of Millerton Lake (above the lake 300 ft), W slope of hill",Sandy loam. Assoc Amsinckia intermedia; Very abundant,213,36.997662,-119.703272,3589,,,cch2
OBI161451,3620970,2019-04-16,2019,4,16,106,,,Santa Cruz,Swanton Pacific Ranch,"Roadside, full sun, W facing, old land slide area.",,37.08748,-122.249,,,,cch2
SBBG164510,113691,1945-03-10,1945,3,10,69,menziesii,Flowers Present,Madera,Bass Lake,,1052,37.324,-119.558,7,,,cch2
SD00010500,500088,1933-04-19,1933,4,19,109,,FL,San Mateo,Above Emerald Lake,,,37.4634,-122.2613,,,,cch2
SDSU06100,380505,1929-06-19,1929,6,19,170,menziesii,,Mariposa,Camp Wawona,,1219,37.547577,-119.678451,800,,,cch2
SD00010499,500087,1932-03-01,1932,3,1,61,,FL,Mariposa,Yosemite National Park; in valley.,,,37.72644,-119.61164,,,,cch2
SBBG164503,127595,1951-03-17,1951,3,17,76,menziesii,Flowers Present,Contra Costa,W of Orinda,moist open hillside,,37.88,-122.189,,,,cch2
OBI106034,196211,1939-04-23,1939,4,23,113,atomaria,,Marin,Nicasio,open wet fields,45,38.061745,-122.69831,818,,,cch2
SDSU06106,380511,1972-05-01,1972,5,1,122,atomaria,,Sonoma,Duncun Point.,,,38.394487,-123.095123,200,,,cch2
SD00010480,500301,2012-03-22,2012,3,22,82,menziesii,FL,Amador,"Northern Sierra Nevada Mountains Foothills: Bell Road, 0.2 mile east of its junction with CA-49 (Fiddletown 7.5'Q)",,270,38.54139,-120.84472,,,,cch2
RSA0068234,749475,2012-03-22,2012,3,22,82,,,Amador County,"Bell Road, 0.2 mile east of its junction with CA-49.","Oak woodland, with willows beside a small creek.",270,38.54139,-120.84472,,,,cch2
SD00010474,500323,2013-03-26,2013,3,26,85,menziesii,FL,Amador,"Northern Sierra Nevada Foothills: Along CA-49, 1.5 miles south of its junction with Sand Ridge Road, between Plymouth and El Dorado (Fiddletown 7.5'Q)",,262,38.56861,-120.84611,,,,cch2
SD00010481,500298,2009-04-04,2009,4,4,94,menziesii,FFL,El Dorado,"Northern Sierra Nevada Mountains Foothills: Happy Valley Road, 0.8 mile west of its junction with Happy Valley Cut-off (Camino 7.5')",,607,38.65556,-120.67528,,,,cch2
OBI106046,196192,1937-06-19,1937,6,19,170,,,Humboldt,"North Coast Range, 3 mi W of Little Van Duzen River at summit of grade-Dinsmore to Bridgeville","Arid transition-Quercus garryana and grassland. Moist open slopes, rocky clay, sun semishade; Abundant",762,40.483215,-123.740232,4627,,,cch2
SBBG164501,59062,1985-03-31,1985,3,31,90,menziesii,Flowers Present,San Luis Obispo,"St Highway 58, ca. 100 m E of jct with Huerhuero Rd",along hwy; grassy understory in oak woodland,,,,,,,cch2
SBBG164506,104876,1935-04-20,1935,4,20,110,menziesii,Flowers Present,Kern,Tehachapi Mtns,,1280,,,,,,cch2
SBBG164513,133171,1961-03-22,1961,3,22,81,menziesii,Flowers Present,San Luis Obispo,Nacimiento River,openings,366,,,,,,cch2
OBI106043,196199,1998-04-20,1998,4,20,110,menziesii,,San Luis Obispo,"North of Nacimiento Lake, .3 miles south from Interlake Road on Bee Rock Road.",Foothill woodland with open grassy sites; occasional,,,,,,,cch2
OBI106036,196212,1968-06-01,1968,6,1,153,,,Mendocino,Pt. Arena light house,Coastal fields,15,,,,,,cch2
OBI106042,196229,2002-03-03,2002,3,3,62,menziesii,,San Luis Obispo,1/2 mi from Little Falls crk trailhead off Upper Lopez cyn Rd,Coastal scrub. On grassy hillside; rocky soil; Common,240,,,,,,cch2
OBI106044,196230,1957-04-09,1957,4,9,99,menziesii,,Santa Barbara,"Along el Camino Cielo, about 0.75 mi e of San Marcos Pass, Santa Ynez mts",In woodland,,,,,,,cch2
OBI106041,196231,1994-04-05,1994,4,5,95,,,San Luis Obispo,"Pine Mt Region. from slope along Ridge Rd between Ridge meadows, Tobacco Crk drainage","Assoc Pteridium aquilinum, Ranunculus californicus, Claytonia perfoliata. sandstone soil, full sun; Isolated pockets, widely scattered",914,,,,,,cch2
OBI106047,213871,1967-04-24,1967,4,24,114,,,San Luis Obispo,North-facing rocky slope near entrance to Routzahn park in Arroyo Grande canyon.,,122,,,,,,cch2
SDSU06082,380487,1949-03-18,1949,3,18,77,menziesii,,Los Angeles,,Open fields- dainage area: Pacific slope . soil : loam. Veg. type: cultivated . slope: west.,366,,,,,,cch2
SDSU06094,380499,1960-04-11,1960,4,11,102,menziesii,,Santa Barbara,Summit on #166 east of cuyama Valley,,,,,,,,cch2
SDSU06112,380517,1963-05-17,1963,5,17,137,integrifolia,,Santa Barbara,13 miles north of Lompoc on #1.,,183,,,,,,cch2
SDSU06118,380523,1951-04-28,1951,4,28,118,menziesii,,Monterey,"Santa Lucia Mts., Monterey Co.",,762,,,,,,cch2
SDSU06123,380528,1951-05-08,1951,5,8,128,integrifolia,,San Diego,,,,,,,,,cch2
SDSU06130,380535,1971-05-01,1971,5,1,121,menziesii,,Kern,"About 3 miles north of Paris-Lorraine, Kern County. Foothill Woodland community neighboring plants; Pinus sabiniana, Gila tricolor, Ganunculus occidentalis.",Growing on a grassy hillside along the Bealville to Bodfish Rd.,1250,,,,,,cch2
SDSU06131,380536,1927-05-08,1927,5,8,128,integrifolia,,,,Shady creek bank.,1219,,,,,,cch2
SDSU06143,380547,1987-04-19,1987,4,19,109,menziesii,,Mendocino,Light gaps under canopy and edgge of coastal Redwood foreston southeastern leg of path surrounding Lake Leonard,,335,,,,,,cch2
SDSU06149,380553,1951-04-25,1951,4,25,115,menziesii,,Mariposa,Wawona rd near Wowona hotel,Grassy slope.,1219,,,,,,cch2
SD00010504,500050,1935-04-06,1935,4,6,96,,FL,Kern,Bakersfield,,,,,,,,cch2
SD00010502,500083,1931-03-07,1931,3,7,66,,FL,Los Angeles,"Other collections same day made at Oakwilde campground, Los Angeles County",in canyon,,,,,,,cch2
SD00010501,500092,1933-05-14,1933,5,14,134,,FL,Tulare,"West slope Sierra Nevada, Balch Park Road, 1.8 mile above the control station.",,1006,,,,,,cch2
SD00010486,500097,1933-05-19,1933,5,19,139,,FL,Madera,West slope of Sierra Nevada; 1.0 mile from Bass Lake on road to Coarse Gold.,,1097,,,,,,cch2
SD00010495,500103,1948-05-08,1948,5,8,129,,FL,Kern,"Kern River Canyon, 21.3 miles west of Isabella.",,,,,,,,cch2
SD00010669,500104,1943-04-03,1943,4,3,93,integrifolia,FL,Los Angeles,San Gabriel Mountains; Tanbark Flat.,,823,,,,,,cch2
SD00010430,500106,1951-04-28,1951,4,28,118,atomaria,FFL,Monterey,Santa Lucia Mtns.,,762,,,,,,cch2
SD00010506,500108,1960-04-11,1960,4,11,102,,FL,Santa Barbara,"Summit on State Highway 166, Cuyama River Road.",,853,,,,,,cch2
SD00010489,500109,1953-03-16,1953,3,16,75,,FL,Los Angeles,"San Jose-Puente Hills, south of Pomona, on the Brea Canyon Road.",Chino loam,244,,,,,,cch2
SD00010507,500112,1963-05-17,1963,5,17,137,,FL,Santa Barbara,13.2 miles north of Lompoc on Highway 1.,,183,,,,,,cch2
SD00010429,500133,1972-05-01,1972,5,1,122,atomaria,FFL,Sonoma,Duncan Point.,,,,,,,,cch2
SD00010488,500138,1980-05-18,1980,5,18,139,,FL,Los Angeles,"South fork Big Rock Creek, ca. 0.5 mile north of South Fork Campground on Forest Road 4N11A.","Pockets of fine moist sand in wash, full sun.",1372,,,,,,cch2
SD00010491,500145,1915-04-01,1915,4,1,91,,FL,Los Angeles,Claremont,,,,,,,,cch2
SD00010496,500150,1950-03-18,1950,3,18,77,,FL,Kern,"Along Soda Lake Road to Carrizo Plain, ca. 0.8 mile off Highway 399. Near San Luis Obispo County line.",,,,,,,,cch2
SD00010492,500152,1978-04-07,1978,4,7,97,,FL,Los Angeles,West side of Sierra Highway just north of Pearblossom Highway.,,914,,,,,,cch2
SD00010483,500153,1957-04-09,1957,4,9,99,,FL,Santa Barbara,"Sata Ynez Mountains; 0.75 mile east of San Marcos Pass, along El Camino Cielo.",,,,,,,,cch2
SD00010497,500166,1951-05-17,1951,5,17,137,,FL,Contra Costa,Open hillside west of Orinda.,,,,,,,,cch2
SD00010663,500259,1967-05-15,1967,5,15,135,integrifolia,FL,Los Angeles,"San Gabriel Mountains, east side Elsmere Canyon near mouth.",,457,,,,,,cch2
RSA0010691,638053,1976-04-11,1976,4,11,102,,,Tulare County,2 miles east of Mt. Lumreau,Chaparral. Sandy loam.,793,,,,,,cch2
RSA0036056,639517,1935-03-03,1935,3,3,62,,,Orange County,San Juan Canyon.,Shaded hillside.,762,,,,,,cch2
RSA0037197,661691,1991-05-12,1991,5,12,132,,,Riverside County,"Area of High Country Ranches. From Tamatea Road approx. 100 ft. to dry stream bed, walking northeasterly direction.","Open area all around. Sandy soil. Dry stream bed. Lined with Red Shank, Manzanita, Sagebrush scrub.",1280,,,,,,cch2
RSA0028793,677043,1944-05-20,1944,5,20,141,,,Riverside County,"Palms to Pines Highway [Hwy. 74], San Jacinto Mountains.","Along moist stream bank, in shade. [not applicable to all specimens this site]",1372,,,,,,cch2
RSA0070947,712818,1973-05-28,1973,5,28,148,,,Los Angeles County,"Angeles National Forest, San Gabriel Mts.: Trail Canyon.",Common on moist slopes and flats among rocks.,610,,,,,,cch2
RSA0028725,751360,1933-04-09,1933,4,9,99,,,Santa Cruz County,Ano Nuevo Pines,,,,,,,,cch2
RSA0057838,840117,1976-05-14,1976,5,14,135,,,San Bernardino County,"San Antonio Canyon. Two miles south of Mt. Baldy Village, one quarter mile off Mt. Baldy Road on the dirt road.","Southern Oak Woodland -- Quercus agrifolia. Occurred under Quercus agrifolia in sandy soil on a steep, west-facing slope.",1158,,,,,,cch2
RSA0035444,953555,1982-05-15,1982,5,15,135,menziesii,,San Diego County,"CA Hwy S6, 4 mi. N of Palomar Mtn.",,1524,,,,,,cch2
RSA0043192,990724,1931-03-01,1931,3,1,60,,,Los Angeles County,Oak Wilde.,Canyon.,,,,,,,cch2
RSA0070948,1009213,1994-04-29,1994,4,29,119,,,Los Angeles County,"Northern slope of the San Gabriel Mountains, Angeles National Forest: side draw on southeastern side of Mt. Emma, Santiago Canyon drainage.","Vegetation a mix of Pinus monophylla-Juniperus osteosperma woodland and Adenostoma fasciculatum-Arctostaphylos glandulosa chaparral, mostly on granitic substrate. Local on open gravelly on mesic slopes.",1159,,,,,,cch2
RSA0059738,1021903,1945-05-05,1945,5,5,125,,,Riverside County,San Gorgonio Mountains above Banning.,Roadside.,914,,,,,,cch2
RSA0043165,1037233,1933-04-19,1933,4,19,109,,,Los Angeles County,Palos Verdes Hills.,"Grassy hillside, north slope",,,,,,,cch2
RSA0046820,1184076,1994-05-22,1994,5,22,142,,,Los Angeles County,USFS trail 7W12 Baldy Tr.,Chaparral. Facing SW. Shaded watershed.,1500,,,,,,cch2
RSA0056306,1193429,1970-04-04,1970,4,4,94,,,Santa Barbara County,San Marcos Pass.,,678,,,,,,cch2
RSA0051320,1203074,1932-03-28,1932,3,28,88,,,Orange County,2 miles NW of H.B.,On hillside.,,,,,,,cch2
RSA0028724,1218006,1933-04-01,1933,4,1,91,,,Lake County,Mt. St. Helena.,,,,,,,,cch2
RSA0037196,1224214,1991-05-12,1991,5,12,132,,,Riverside County,"Area of High Country Ranches. From Tamatea Road approx. 100 ft. to dry stream bed, walking northeasterly direction.","Open area all around. Sandy soil. Dry stream bed. Lined with Red Shank, Manzanita, Sagebrush scrub.",1280,,,,,,cch2
RSA0003801,1238749,1903-04-25,1903,4,25,115,,,San Joaquin County,Tracy.,,,,,,,,cch2
