"X1","specimen_number","taxon name","collector","coll_number_prefix","coll_number","coll_number_suffix","collection_date","late_collection_date","verbatim_date","county","elevation","locality","latitude","longitude","datum","source","error_distance","units","citation","doy","new_error_distance"
1147,"RSA725200","Nemophila menziesii var. integrifolia","""Sula Vanderplank, LeRoy Gross, Steve Hoskinson""",NA,50506,"-71","5/6/2005","5/6/2005",2005-05-06,"Los Angeles","1444m","""Off Big Pines Hwy (Road N) on the N side of the San Gabriel Mountains. Near Shoemaker Canyon. Along ridge, wash and roadside.""",34.42548,-117.80429,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",126,NA
1148,"RSA729397","Nemophila menziesii var. integrifolia","R. G. Swinney",NA,6123,NA,"5/23/1998","5/23/1998",1998-05-23,"San Bernardino","1335m","""Ralston Peak, on southern ridge.""",34.301389,-117.495833,"not recorded","Coordinates provided on label",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",143,1
1149,"RSA729927","Nemophila menziesii var. integrifolia","""R. G. Swinney, Dave Larson""",NA,6034,NA,"4/26/1998","4/26/1998",1998-04-26,"Los Angeles","1317m","""Browns Flat, San Dimas Experimental Forest""",34.187778,-117.721111,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",116,NA
1150,"RSA729936","Nemophila menziesii var. integrifolia","""R. G. Swinney, D. W. Larson""",NA,7414,NA,"6/25/1999","6/25/1999",1999-06-25,"Los Angeles","1159m","""San Gabriel Mtns.: Fern Canyon at falls, c. 1,7 mi. east of confluence with upper East Fork San Dimas Canyon""",34.195833,-117.716667,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",176,NA
1151,"RSA730888","Nemophila menziesii var. integrifolia","""Steve Boyd, Valentin Arvizu""",NA,11973,NA,"5/1/2008","5/1/2008",2008-05-01,"Kern","1372m","""Piute Mountains, lower Esperanza Canyon at eastern base of Sorrell Peak and western edge of Kelso Valley.""",35.418611,-118.256111,"not recorded",NA,1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",122,1
1152,"RSA733241","Nemophila menziesii var. integrifolia","Jon P. Rebman",NA,12184,NA,"6/29/2005","6/29/2005",2005-06-29,"San Diego","1660m","""Laguna Mountains: Clevelad National Forest; vicinity of Penny Pines above Storm Canyon, E of Sunrise highway and W of the Pacific Crest Trail, Sw of Garnet Peak.""",32.9144,-116.4578,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",180,NA
1153,"RSA733465","Nemophila menziesii var. integrifolia","Jon P. Rebman",NA,13034,NA,"3/25/2007","3/25/2007",2007-03-25,"San Diego","635m","""Cleveland National Forest: Pine Creek Wilderness; north of Barrett Lake, southeast of Alpine north of the Horsethief Canyon Trailhead on Lyons Valley Road, along a trail in the bottom of Horsethief Canyon not that this area was partially burned in 2006.""",32.7547,-116.6622,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,NA
1154,"RSA733768","Nemophila menziesii var. integrifolia","R. G. Swinney",NA,7832,NA,"6/19/2000","6/19/2000",2000-06-19,"Los Angeles","1384m","""Pine Mountain, north of Azusa.""",34.223611,-117.901944,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",171,NA
1155,"RSA735439","Nemophila menziesii var. integrifolia","""LeRoy Gross, Sula Vanderplank""",NA,3400,NA,"5/21/2008","5/21/2008",2008-05-21,"San Bernardino","1469m","East of Rock Camp Station. North of Lake Arrowhead.",34.28903,-117.20592,"NAD83","GPS",400,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",142,0.4
1156,"RSA75866","Nemophila menziesii var. integrifolia","F. W. Peirson",NA,364,NA,"4/16/1919","4/16/1919",1919-04-16,"San Bernardino","686m","South slope of Cajon Pass.",34.232825,-117.434089,"WGS84","Geolocate (copied from RSA72171)",2,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",106,2
1157,"RSA75878","Nemophila menziesii var. integrifolia","F. W. Peirson","s.n.",NA,NA,"5/12/1925","5/12/1925",1925-05-12,"San Diego","686m","Potrero Grade",32.59699,-116.65411,"WGS84","TOPO! (copied from UC382580)",4.827,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",132,4.827
1158,"RSA75879","Nemophila menziesii var. integrifolia","F. W. Peirson",NA,5902,NA,"5/15/1925","5/15/1925",1925-05-15,"San Diego","1220m","4 miles south of Buckman Springs.",32.71833,-116.46917,"WGS84","SD_georef (mak) (copied from UC3610861)",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",135,0.80467
1159,"RSA75880","Nemophila menziesii var. integrifolia","F. W. Peirson",NA,8781,NA,"5/11/1930","5/11/1930",1930-05-11,"San Diego","854m","Henshaw Dam.",33.2417,-116.7631,"WGS84","SD_georef (mak) (copied from UC310532)",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",131,0.402335
1160,"RSA75881","Nemophila menziesii var. integrifolia","F. W. Peirson",NA,4602,NA,"5/16/1924","5/16/1924",1924-05-16,"San Bernardino","1524m","""City Creek Road, Fredalba, San Bernardino Mts.""",34.204263,-117.124695,"WGS84","Geolocate (copied from RSA92705)",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",137,1
1161,"RSA75884","Nemophila menziesii var. integrifolia","F. W. Peirson",NA,5467,NA,"3/18/1925","3/18/1925",1925-03-18,"Los Angeles","381m","South slope of Newhall Grade between Saugus and San Fernando Valley",34.32692,-118.502841,"WGS84","GoogleEarth (copied from RSA95347)",1.6,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",77,1.6
1162,"RSA768634","Nemophila menziesii var. integrifolia","""LeRoy Gross, Jackie McConnaughy, Drew Monks, Thomas Stoughton, Jane Tirrell, Malia Volke""",NA,4379,NA,"4/13/2010","4/13/2010",2010-04-13,"San Bernardino","1188m","""Whitewater Canyon Bioblitz: At saddle just east of Wathier Landing, [from] near 34.04398N, 116.71046W. Surveyed along old road in a southeast direction to 34.03946N, 116.70286W., Northeast facing slope of mountain, within northwest section of Catclaw Flat.""",34.04398,-116.71046,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",103,NA
1163,"RSA769524","Nemophila menziesii var. integrifolia","""Duncan S. Bell, Valentin Arvizu""",NA,977,NA,"5/10/2010","5/10/2010",2010-05-10,"Riverside","1349m","""San Bernardino National Forest: Garner Valley, approximately 1.1 air mile southeast of junction of forest service road 6S13 and forest service road 6S04.""",33.64496,-116.65589,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",130,NA
1164,"RSA780656","Nemophila menziesii var. integrifolia","""Naomi S. Fraga, LeRoy Gross, Dolores Gault""",NA,3437,NA,"6/1/2010","6/1/2010",2010-06-01,"San Bernardino","1462m","""Along Santa Ana River, just S of Forest Service Rd IN09""",34.16851,-116.96044,"NAD83","GPS",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",152,NA
1165,"RSA798328","Nemophila menziesii var. integrifolia","""Jon P. Rebman, Warren Schmidtmann, John Green, J. Berrian""",NA,25554,NA,"3/26/2013","3/26/2013",2013-03-26,"San Diego","130m","Lake Hodges: south of Escondido; southeast of the intersection of Lake Drive and Beech Lane; along the north side of Lake southeast of the boat ramp.",33.0633,-117.1004,"not recorded",NA,NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,NA
1166,"SBBG114359","Nemophila menziesii var. integrifolia","R. Burgess",NA,4597,NA,"5/18/2001","5/18/2001",2001-05-18,"Ventura","1021 m","""Piru flood plain, 1 mi N of Hardluck Cmpgrd at first major bend in crk""",34.694,-118.857,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",138,1
1167,"SBBG117353","Nemophila menziesii var. integrifolia","B. Crampton",NA,119,NA,"4/11/1941","4/11/1941",1941-04-11,"Mariposa","609 m","""near Agua Fria Crk along St Hwy 140, ca. 6 mi W of Mariposa""",37.482,-120.021,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",101,1
1168,"SBBG121241","Nemophila menziesii var. integrifolia","V. Soza with L. Lubinsky",NA,1226,NA,"5/16/2001","5/16/2001",2001-05-16,"Los Angeles","457m","Liz's Loop (Edison Rd) to Cherry Cyn Fire Rd; northern San Rafael Hills",34.193889,-118.205833,"WGS84","""Baldwin et al. (2017), Master spatial file""",1,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",136,1
1169,"SBBG122441","Nemophila menziesii var. integrifolia","""R. Burgess, B. Meiners, C. Davis, P. Munro""",NA,3721,NA,"4/1/2000","4/1/2000",2000-04-01,"Ventura","304 m","""Rancho de Cielo, NW side of Sulphur Mtn, between Clark Ranch Rd and Sulphur Mtn Rd""",34.4106,-119.2432,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",92,1
1170,"SBBG122442","Nemophila menziesii var. integrifolia","""R. Burgess, P. Munro""",NA,3822,NA,"5/13/2000","5/13/2000",2000-05-13,"Ventura","502 m","trail from Pothole Spring to Log Cabin Cmpgrd (USFS 18W04)",34.5192,-118.7639,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",134,1
1171,"SBBG122480","Nemophila menziesii var. integrifolia","""R. Burgess, T. Austin, P. Munro""",NA,1603,NA,"5/19/1995","5/19/1995",1995-05-19,"Ventura","670 m","""trail to Tom's Cabin; Hopper Mtn Nat Wildlife Refuge, Sespe Condor Sanctuary""",34.4535,-118.849,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",139,1
1172,"SBBG125441","Nemophila menziesii var. integrifolia","""A. Parikh, N. Gale""",NA,3304,NA,"6/16/2010","6/16/2010",2010-06-16,"Los Angeles","1295m","""upper Big Tujunga Cyn, 0.3 km ENE of Shortcut Station, 0.7 km N of St Hwy 2, San Gabriel Mtns""",34.2795,-118.027,NA,"Label (GPS)",200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",167,0.2
1173,"SBBG127047","Nemophila menziesii var. integrifolia","""A. Parikh, N. Gale""",NA,3537,NA,"7/5/2011","7/5/2011",2011-07-05,"Los Angeles","1665m","""rd to Barley Flats, 3.9 km W of Shortcut Station, 1.1 km N of St Hwy 2; San Gabriel Mtns""",34.2785,-118.072,NA,"Label (GPS)",200,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",186,0.2
1174,"SBBG17321","Nemophila menziesii var. integrifolia","E. R. Chandler",NA,1188,NA,"5/31/1963","5/31/1963",1963-05-31,"Santa Barbara","609 m","Escondido Cyn Camp on Pendola Flat Rd ca. 3.3 mi N from Romero Cyn saddle",34.486,-119.5638,NA,"MyTopo",750,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",151,0.75
1175,"SBBG23031","Nemophila menziesii var. integrifolia","E. R. Chandler",NA,2186,"a","5/8/1965","5/8/1965",1965-05-08,"Santa Barbara","1127 m","N side of Figueroa Mtn near Zaca Ridge rd to Catway",34.7558,-119.9827,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",128,1
1176,"SBBG24491","Nemophila menziesii var. integrifolia","E. R. Chandler",NA,3084,NA,"5/24/1966","5/24/1966",1966-05-24,"Santa Barbara","457 m","Colson Cyn",34.942,-120.1995,NA,"MyTopo",5.4,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",144,5.4
1177,"SBBG27701","Nemophila menziesii var. integrifolia","D. Myrick",NA,1638,NA,"6/10/1967","6/10/1967",1967-06-10,"San Bernardino","1615 m","above S end of Lake Arrowhead",34.251,-117.183,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",161,1
1178,"SBBG39007","Nemophila menziesii var. integrifolia","L. E. Allen",NA,NA,NA,"4/7/1966","4/7/1966",1966-04-07,"Santa Barbara",NA,"""Escondido Crk and spring, off Juncal Rd""",34.48,-119.564,NA,"MyTopo",2300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,2.3
1179,"SBBG6133","Nemophila menziesii var. integrifolia","C. F. Smith",NA,1200,NA,"4/7/1945","4/7/1945",1945-04-07,"Santa Barbara","304 m","Rattlesnake Cyn",34.4575,-119.6915,NA,"GeoLocate",1500,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",97,1.5
1180,"SBBG6143","Nemophila menziesii var. integrifolia","H. and M. Dearing",NA,86,NA,"4/4/1934","4/4/1934",1934-04-04,"San Bernardino",NA,"near Hesperia",34.426,-117.3,NA,"MyTopo",5000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",94,5
1181,"SBBG6144","Nemophila menziesii var. integrifolia","H. and M. Dearing",NA,3086,NA,"4/4/1939","4/4/1939",1939-04-04,"San Bernardino",NA,"Hesperia",34.426,-117.3,NA,"MyTopo",NA,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",94,NA
1182,"SBBG6145","Nemophila menziesii var. integrifolia","H. and M. Dearing",NA,1527,NA,"3/11/1937","3/11/1937",1937-03-11,"San Diego",NA,"Cuyamaca Rd above Julian",33.0124,-116.5613,"WGS84","Google Earth",6.435,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",70,6.435
1183,"SBBG64772","Nemophila menziesii var. integrifolia","R. Hoffmann",NA,NA,NA,"4/26/1929","4/26/1929",1929-04-26,"Los Angeles",NA,"Soledad Cyn",34.4227,-118.5409,NA,"MyTopo",4,"km","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",116,4
1184,"SBBG64777","Nemophila menziesii var. integrifolia","H. M. Pollard",NA,NA,NA,"3/25/1945","3/25/1945",1945-03-25,"Ventura",NA,"Foothill Trail",34.469,-119.231,NA,"MyTopo",2000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",84,2
1185,"SBBG64792","Nemophila menziesii var. integrifolia","R. Hoffmann",NA,NA,NA,"5/31/1929","5/31/1929",1929-05-31,"Santa Barbara",NA,"Figueroa Mtn",34.7438,-119.985,NA,"GeoLocate",1900,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",151,1.9
1186,"SBBG64793","Nemophila menziesii var. integrifolia","R. Hoffmann",NA,NA,NA,"5/31/1929","5/31/1929",1929-05-31,"Santa Barbara","1219 m","Figueroa Mtn",34.7438,-119.985,NA,"GeoLocate",1900,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",151,1.9
1187,"SBBG64803","Nemophila menziesii var. integrifolia","R. Hoffmann",NA,NA,NA,"3/2/1928","3/2/1928",1928-03-02,"Santa Barbara",NA,"Mission Ridge; Santa Barbara",34.442,-119.701,NA,"MyTopo",2300,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",62,2.3
1188,"SBBG64807","Nemophila menziesii var. integrifolia","R. Hoffmann",NA,NA,NA,"5/2/1925","5/2/1925",1925-05-02,"Santa Barbara",NA,"Knapp's Lodge",34.5235,-119.7933,NA,"MyTopo",1000,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",122,1
1189,"SBBG82149","Nemophila menziesii var. integrifolia","C. F. Smith",NA,6571,NA,"5/24/1967","5/24/1967",1967-05-24,"Santa Barbara",NA,"Buckhorn Cyn off Hwy 166",35.0026,-120.2041,NA,"MyTopo",3600,"meters","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",144,3.6
1190,"SD10341","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,126,"40","2/20/1935","2/20/1935",1935-02-20,"San Diego",NA,"""Springhill, near Ramona""",33.09021,-116.79119,"WGS84","""TOPO! v3.4.2, Wray, C., The Historic Backcountry, 2004""",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",51,0.80467
1191,"SD10392","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,131,"10","2/27/1935","2/27/1935",1935-02-27,"San Diego",NA,"North slope of Soledad Mt.",32.8442,-117.2525,"WGS84","TOPO! v3.4.2",0.4,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",58,0.643736
1192,"SD10418","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,133,"6","2/27/1935","2/27/1935",1935-02-27,"San Diego",NA,"""Bluff on San Marcos Creek, near Green Valley School""",33.0857,-117.2639,"WGS84","TOPO! v3.4.2",2,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",58,3.21868
1193,"SD10588","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,139,"2","3/13/1935","3/13/1935",1935-03-13,"San Diego",NA,"""Moosa Canyon, north of Escondido""",33.25052,-117.12968,"WGS84","TOPO! v3.4.2",6,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",72,9.65604
1194,"SD10785","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,149,"11","3/23/1935","3/23/1935",1935-03-23,"Imperial",NA,"""Boulder Park on Highway 80, top of Mountain Springs Grade""",32.6589,-116.1008,"WGS84","GNIS and TOPO!",0.4,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",82,0.643736
1195,"SD10943","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,159,"15","4/3/1935","4/3/1935",1935-04-03,"San Diego",NA,"Near Tecate Junction on Potrero Grade",32.59816,-116.64312,"WGS84","""TOPO! v3.4.2, Wray, C., The Historic Backcountry, 2004""",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",93,0.80467
1196,"SD11309","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,189,"3","4/27/1935","4/27/1935",1935-04-27,"San Diego",NA,"""Picnic Grounds, Cuyamaca Rancho State Park""",32.95935,-116.57969,"WGS84","""TOPO! v3.4.2, Field notes""",0.15,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",117,0.241401
1197,"SD11361","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,200,"14","5/8/1935","5/8/1935",1935-05-08,"San Diego",NA,"5 mi. south of Mesa Grande on Black CaA'on Road",33.13604,-116.79118,"WGS84","""TOPO! v3.4.2,""",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",128,0.80467
1198,"SD114740","Nemophila menziesii var. integrifolia","Henk van der Werff",NA,4472,NA,"4/16/1982","4/16/1982",1982-04-16,"San Diego","1200 m","""Pine Valley, Corte Madera Ranch""",32.76409,-116.57253,"WGS84","TOPO! v3.4.2",1,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",106,1.60934
1199,"SD114932","Nemophila menziesii var. integrifolia","Ann Jackson",NA,79,"3","4/20/1979","4/20/1979",1979-04-20,"San Diego","1340 m","About 5 m east of stream in oak woodland in south end of Fred Canyon",32.77323,-116.43462,"WGS84","""TRS Conversion, TOPO! v3.4.2""",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",110,0.402335
1200,"SD128338","Nemophila menziesii var. integrifolia","R. Mitchel Beauchamp",NA,3263,NA,"4/16/1972","4/16/1972",1972-04-16,"San Diego","1050 m","Cutca Valley",33.39303,-116.91633,"WGS84","""TOPO! v3.4.2, Field notes""",0.5,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",107,0.80467
1201,"SD136823","Nemophila menziesii var. integrifolia","""Steve Boyd, Tim Ross""",NA,7275,NA,"5/6/1992","5/6/1992",1992-05-06,"San Diego","640 m","""So. Santa Ana Mts, San Mateo Cyn Wilderness Area. S side of Miller Mt along 'Miller Canyon', the major drainage on the southern flank of the mountain, from Road 8S02 upstream to the area of contact between lower granitic and higher basaltic rocks.""",33.49225,-117.38606,"WGS84","""TRS Conversion, TOPO! v3.4.2""",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",127,0.402335
1202,"SD137733","Nemophila menziesii var. integrifolia","""Darin L. Banks, Peter Morrell""",NA,301,NA,"5/4/1995","5/4/1995",1995-05-04,"Riverside","609 m","""Cleveland Nat'l Forest, Agua Tibia Wilderness Area. N slope of Agua Tibia Mtn., E of Dripping Springs Alcove Area, N of Woodchuck Trail.""",33.45,-116.95,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",124,NA
1203,"SD15061","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,1651,NA,"4/28/1936","4/28/1936",1936-04-28,"San Diego",NA,"Near Monument School",32.54362,-117.08315,"WGS84","TOPO! v3.4.2",0.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,0.402335
1204,"SD15169","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,1758,NA,"5/5/1936","5/5/1936",1936-05-05,"San Diego",NA,"Pine Hills",33.04838,-116.63085,"WGS84","""TOPO! v3.4.2, GNIS""",1,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",126,1.60934
1205,"SD155169","Nemophila menziesii var. integrifolia","""Jon P. Rebman, Tom Dempster""",NA,7872,NA,"4/19/2002","4/19/2002",2002-04-19,"San Diego","818 m","Kelley/Rebman Ranch at 565 Anderson Truck Trail on northwest side of Viejas Mountain: approx. 2 miles north of Victoria Road in Alpine",32.87278,-116.7475,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",109,NA
1206,"SD155607","Nemophila menziesii var. integrifolia","Andrew R. Pigniolo",NA,1030,NA,"3/15/2003","3/15/2003",2003-03-15,"San Diego","1441 m","""Cuyamaca Lake, Lucky 5 Acquisition, Location 3 - Knoll with grassland on northeast side.""",32.995,-116.53667,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",74,NA
1207,"SD157169","Nemophila menziesii var. integrifolia","Judy Gibson",NA,235,NA,"3/28/2004","3/28/2004",2004-03-28,"San Diego","1100 m","""Descanso, ca. I(c) mile north of Hulburd Grove. Drainage running down to Sweetwater river, north-facing slope.""",32.873,-116.6255,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",88,NA
1208,"SD157170","Nemophila menziesii var. integrifolia","""Jeannie Gregory, John Gregory""",NA,915,NA,"5/22/2004","5/22/2004",2004-05-22,"San Diego","1562 m","""Laguna Mountains, Sunrise Highway, Kitchen Creek Truck Trail.""",32.8447,-116.4489,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",143,NA
1209,"SD158116","Nemophila menziesii var. integrifolia","""Enrique Medina, Paula Knoll""",NA,13,NA,"5/8/2004","5/8/2004",2004-05-08,"San Diego","1661 m","""Square # 33: Noble Canyon Trail, 0.8 miles west of Sunrise Hwy trailhead; 100' east of Pine Creek Road junction""",32.90417,-116.4725,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",129,NA
1210,"SD158701","Nemophila menziesii var. integrifolia","Andrew R. Pigniolo",NA,1044,NA,"4/19/2003","4/19/2003",2003-04-19,"San Diego","1123 m","Boulevard - Garza Property near Shasta Lane - Location 1- near graded area at southwestern edge of property.",32.63889,-116.34556,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",109,NA
1211,"SD15885","Nemophila menziesii var. integrifolia","Frank F. Gander",NA,2452,NA,"5/30/1936","5/30/1936",1936-05-30,"San Diego",NA,"""Laguna Mts., near Garnet""",32.92561,-116.45807,"WGS84","""TOPO! v3.4.2, GNIS""",1.25,"miles","Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",151,2.011675
1212,"SD160300","Nemophila menziesii var. integrifolia","""Millie Basden-Thomas, Peter Thomas""",NA,14,NA,"3/27/2004","3/27/2004",2004-03-27,"San Diego","1289 m","""3225 Pine Hills Road, Julian, CA 92036""",33.07056,-116.60194,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",87,NA
1213,"SD160590","Nemophila menziesii var. integrifolia","""Jon P. Rebman, Jeannie Gregory""",NA,8385,NA,"4/8/2003","4/8/2003",2003-04-08,"San Diego","1600 m","Laguna Mountains: Lucky 5 Ranch; southern portion of new acquisition by California State Parks: west side of Sunrise Hwy (S-1) between Cuyamaca Lake and Mount Laguna",32.93194,-116.49333,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",98,NA
1214,"SD160591","Nemophila menziesii var. integrifolia","""Jon P. Rebman, Jeannie Gregory""",NA,8675,NA,"4/29/2003","4/29/2003",2003-04-29,"San Diego","869 m","""Walker Canyon Ecological Reserve: between Boulevard and Jacumba on the north side of Interstate 8, along arroyo bottom near stream""",32.66361,-116.22167,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",119,NA
1215,"SD165197","Nemophila menziesii var. integrifolia","Sharon Paulin",NA,11,NA,"3/25/2004","3/25/2004",2004-03-25,"San Diego","1235 m","""4 miles south of pine valley, bear valley rd. 1 mile east of corte madera rd.""",32.79583,-116.55,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",85,NA
1216,"SD165589","Nemophila menziesii var. integrifolia","""Kim Marsden, Larry Hendrickson""",NA,51,NA,"3/23/2004","3/23/2004",2004-03-23,"San Diego","451 m","""Los Caballos Horse Camp, Cuyamaca Rancho State Park""",32.97222,-116.57167,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",83,NA
1217,"SD165590","Nemophila menziesii var. integrifolia","Jerilyn Hirshberg",NA,931,NA,"2/13/2005","2/13/2005",2005-02-13,"San Diego","1060 m","0.5 mile SE of entrance to Inaja picnic area on Highway 78/79 between Santa Isabel and Wynola",33.0971,-116.6592,"not recorded","Coordinates from label",0,NA,"Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/)",44,NA
