specimen_number,id,date_new,year,month,day,DOY,sub_sp,repro,county,locality,habitat,elev_m,lat,long,error_dist_m,georef_by,georef_notes,datum,references,source,scored_by,notes,plant,Total,buds_1,flowers_2,spent_3,immature_4,mature_5
UC618397,3419933,1937-05-03,1937,5,3,123,,Flowering/Fruiting,San Benito,"se Panoche (Griswold Creek); se of Panoche, Griswold Creek",,,36.583206,-120.80852,415,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3419933,cch2,,,,,,,,,
UC66822,3493538,1904-04-03,1904,4,3,94,,Flowering/Fruiting,Monterey,Pacific Grove,,,36.617738,-121.916622,2752,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3493538,cch2,,,,,,,,,
UC606906,3248934,1938-04-03,1938,4,3,93,,Flowering/Fruiting,San Benito,"on Tres Pinos Creek 7 mi nw Llanada (San Carlos Range, Inner South Coast Ranges); Inner South Coast Ranges, San Carlos Range","light sandy soil of cultivated field, Pinus sabiniana-Quercus douglasii belt",609,36.68138,-121.00466,5057,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3248934,cch2,,,,,,,,,
UC606915,3149133,1938-05-09,1938,5,9,129,,Flowering/Fruiting,Fresno,"1.3 mi e Pinehurst (road to General Grant Park, Sierra Nevada foothills); Sierra Nevada foothills, e of Pinehurst","open bank w/Ceanothus, Chamaebatia & Cercocarpus at edge sm stream, Pinus ponderosa-Libocedrus assn",1219,36.695316,-119.003845,2025,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3149133,cch2,,,,,,,,,
UC1021935,3163847,1955-04-24,1955,4,24,114,,Flowering/Fruiting,Fresno,Highway 180 above Clingan's junction; above Clingan's junction,,914,36.75444,-119.16944,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3163847,cch2,,,,,,,,,
UC480616,3309511,1928-03-04,1928,3,4,64,,Flowering/Fruiting,Monterey,"near Watsonville (Aromas); near Watsonville, Aromas",,,36.88841,-121.63942,789,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3309511,cch2,,,,,,,,,
UC592188,3161283,1929-03-24,1929,3,24,83,,Flowering/Fruiting,Madera,at junction of Yosemite Road eighteen mi e Madera; e of Madera at junction of Yosemite Road,common in fields,,36.986427,-119.7463,25350,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3161283,cch2,,,,,,,,,
UC606902,3157473,1938-05-08,1938,5,8,128,,Flowering/Fruiting,Fresno,"0.6 mi sw of Tollhouse Tollhouse Creek (e bank of Tollhouse Creek, Sierra Nevada foothills); Sierra Nevada foothills, Tollhouse Creek",open granitic slope w/Cercis & rhus trilobata under Pinus Sabiniana & Quercus Wislizenii,609,37.009594,-119.40307,2025,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157473,cch2,,,,,,,,,
UC1069192,3415469,1936-04-30,1936,4,30,121,,Flowering/Fruiting,Santa Cruz,"2 1/2 mi w Bonnie Doon; Santa Cruz Quad., w of Bonnie Doon","Veg. Type: Grass; slope illeg. ""sw slope?"" ""so slope?""",121,37.060026,-122.194944,2125,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3415469,cch2,,,,,,,,,
UC1069191,3500946,1935-04-09,1935,4,9,99,,Flowering/Fruiting,Santa Cruz,"1 1/2 mi n Santa Cruz; Santa Cruz Quad., n of Santa Cruz",Veg. Type: A ; 0 slope,91,37.0619,-121.9534,4828,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3500946,cch2,,,,,,,,,
UC1069196,3415506,1938-04-06,1938,4,6,96,,Flowering/Fruiting,Santa Clara,"4 8/10 mi ene Rucker; Morgan Hill Quad., ene of Rucker","Veg. Type: B, D' ; n slope",289,37.0763,-121.5182,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3415506,cch2,,,,,,,,,
UC24260,3455161,1892-05-01,1892,5,1,122,,Flowering/Fruiting,Santa Cruz,Glenwood,,,37.10833,-121.98556,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3455161,cch2,,,,,,,,,
UC204178,3149631,1903-06-01,1903,6,1,152,atomaria,Flowering/Fruiting,Santa Clara,"Loma Prieta Peak; ; Loma Prieta Peak, Santa Clara Co.",,,37.10851,-121.83946,658,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3149631,cch2,,,,,,,,,
UC24251,3146870,1894-04-01,1894,4,1,91,atomaria,Flowering/Fruiting,Santa Clara,eastern slope Loma Prieta,,,37.11083,-121.84361,135,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3146870,cch2,,,,,,,,,
UC765438,3153076,1935-02-09,1935,2,9,40,,Flowering/Fruiting,Madera,8 mi w Chowchilla; w of Chowchilla,,,37.118904,-120.409256,11246,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3153076,cch2,,,,,,,,,
UC765437,3154663,1937-03-25,1937,3,25,84,,Flowering/Fruiting,Madera,8 mi w Chowchilla; w of Chowchilla,,,37.118904,-120.409256,11246,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154663,cch2,,,,,,,,,
UC1039812,3305663,1956-04-16,1956,4,16,107,,Flowering/Fruiting,Fresno,"e side Kerckhoff Lake; Sierra National Forest, Quad. 89-D1, e side Kerckhoff Lake","Veg. Type: Nt2 (N+2?)/SGr Hrk (Hvk?) (Gr underlined), Soil Series Tollhouse",396,37.1484,-119.5052,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3305663,cch2,,,,,,,,,
UC107229,3157327,1889-04-22,1889,4,22,112,atomaria,Flowering/Fruiting,Santa Clara,Alma,,,37.18087,-121.98446,1062,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157327,cch2,,,,,,,,,
UC131658,3233710,1904-03-25,1904,3,25,85,,Flowering/Fruiting,Santa Clara,w Los Gatos; w of Los Gatos,foothills,,37.209385,-122.05352,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3233710,cch2,,,,,,,,,
UC596584,3407643,1907-04-02,1907,4,2,92,,Flowering/Fruiting,Santa Clara,hills w Los Gatos (West Central California); w of Los Gatos,hills,274,37.2202,-122.0344,3500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3407643,cch2,,,,,,,,,
UC1069169,3390932,1938-02-01,1938,2,1,32,,Flowering/Fruiting,Santa Clara,"1.4 mi n Mt. Sizer; Morgan Hill Quad., n of Mt. Sizer","Veg. Type: D', Gr (Gr underlined); e slope",822,37.2384,-121.5034,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3390932,cch2,,,,,,,,,
UC596364,3155210,1938-05-29,1938,5,29,149,,Flowering/Fruiting,Madera,Coarsegold,,,37.26346,-119.693054,818,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3155210,cch2,,,,,,,,,
UC618484,3150222,1938-05-04,1938,5,4,124,,Flowering/Fruiting,Madera,near Bass Lake; near Bass Lake,,,37.31176,-119.547646,3232,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3150222,cch2,,,,,,,,,
UC131456,3453470,1902-04-12,1902,4,12,102,,Flowering/Fruiting,San Mateo,La Honda,along open banks and roadsides,,37.317913,-122.269394,908,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3453470,cch2,,,,,,,,,
UC571709,3273089,1935-03-31,1935,3,31,90,,Flowering/Fruiting,Santa Clara,between Hall's Valley and Grand View (western side of Mount Hamilton); western side of Mount Hamilton,"western side of mountain; ne facing slope among Quercus douglasii, Q. kelloggii",548,37.342384,-121.64059,520,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3273089,cch2,,,,,,,,,
UC571712,3395284,1934-03-30,1934,3,30,89,,Flowering/Fruiting,Santa Clara,"Bonito Creek near Kincaid Road (Mount Hamilton Range); , Bonito Creek",,731,37.38329,-121.69044,14497,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3395284,cch2,,,,,,,,,
UC606910,3148042,1938-04-17,1938,4,17,107,,Flowering/Fruiting,Mariposa,"13 mi w Mormon Bar (near Mariposa Creek); Sierra Nevada foothills, nr Mariposa Creek, w of Mormon Bar",grassy bank in Pinus Sabiniana-Quercus douglasii association,457,37.39305556,-120.0077778,8047,,,NAD83,http://cch2.org/portal/collections/individual/index.php?occid=3148042,cch2,,,,,,,,,
UC1069182,3148996,1935-05-06,1935,5,6,126,,Flowering/Fruiting,Mariposa,"Bull Run Valley Indian Gulch Quad., Bull Run Valley",Veg. Type: Grass ? land (woodland?) ; 3% nw slope,487,37.3962,-120.0587,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3148996,cch2,,,,,,,,,
UC1069190,3158407,1936-04-09,1936,4,9,100,,Flowering/Fruiting,Mariposa,"1.4 mi se Cathay School; Indian Gulch Quad., se of Cathay School",Veg. Type: Grass,381,37.4107,-120.0769,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3158407,cch2,,,,,,,,,
UC596583,3310329,1908-05-01,1908,5,1,122,,Flowering/Fruiting,Santa Clara,Mt. Day,,,37.421104,-121.69879,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3310329,cch2,,,,,,,,,
UC596582,3322177,1909-04-01,1909,4,1,91,,Flowering/Fruiting,Santa Clara,Milpitas,,,37.427773,-121.90488,3232,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3322177,cch2,,,,,,,,,
UC880914,3149744,1915-04-20,1915,4,20,110,,Flowering/Fruiting,Mariposa,Blochman's Ranch,,,37.4291,-120.0923,2500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3149744,cch2,,,,,,,,,
UC1069181,3148880,1935-04-26,1935,4,26,116,,Flowering/Fruiting,Mariposa,"Wawona Yosemite Quad., Wawona",Veg. Type: Y ; 3% slope; Granitic soil origin,1219,37.545,-119.6514,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3148880,cch2,,,,,,,,,
UC592189,3261145,1925-03-07,1925,3,7,66,,Flowering/Fruiting,Alameda,bluff above stream junction one-half mi sw Sunol; sw of Sunol,open oak association on upper hills slopes; bluff above stream junction,,37.579037,-121.90704,2803,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3261145,cch2,,,,,,,,,
UC767670,3146662,1938-03-19,1938,3,19,78,,Flowering/Fruiting,San Joaquin,"1 mi n Corral Hollow (near Alameda Co. line, San Joaquin); n of Corral Hollow",,,37.65059,-121.55563,3875,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3146662,cch2,,,,,,,,,
UC67150,3156362,1901-03-15,1901,3,15,74,atomaria,Flowering/Fruiting,San Mateo,"cliffs w Colma; Region of San Francisco Bay, w of Colma",,,37.673225,-122.474915,2025,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3156362,cch2,,,,,,,,,
UC202791,3430388,1903-04-01,1903,4,1,91,,Flowering/Fruiting,San Mateo,Cemeteries,Cemeteries,,37.680893,-122.448395,818,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3430388,cch2,,,,,,,,,
UC1301146,3563100,1963-02-16,1963,2,16,47,,Flowering/Fruiting,San Mateo,"above Daly City (lower open slopes of San Bruno Mountain); San Francisco Bay Region, San Bruno Mountain","lower open slopes of mountain; heading as ""Spring Wildflowers of the San Francisco Bay Region",106,37.689358,-122.44776,1220,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3563100,cch2,,,,,,,,,
UC618586,3162365,1938-05-03,1938,5,3,123,,Flowering/Fruiting,Mariposa,near Granite Springs; near Granite Springs,,,37.700974,-120.29435,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3162365,cch2,,,,,,,,,
UC1069179,3150616,1936-03-26,1936,3,26,86,,Flowering/Fruiting,Tuolumne,"1 mi s Don Pedro Bar; Sonora Quad., s of Don Pedro Bar",Veg. Type: Woodland--Chap. Gr ; 10% s,243,37.7178,-120.3792,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3150616,cch2,,,,,,,,,
UC24237,3345264,1896-04-04,1896,4,4,95,,Flowering/Fruiting,San Francisco,Lake Merced,,,37.7198,-122.49132,2456,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3345264,cch2,,,,,,,,,
UC67149,3566790,1901-03-16,1901,3,16,75,,Flowering/Fruiting,San Francisco,"Lake Merced San Francisco Bay Region, Lake Merced",sandy hills,,37.7198,-122.49132,2456,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3566790,cch2,,,,,,,,,
UC1069194,3378713,1934-03-12,1934,3,12,71,,Flowering/Fruiting,Alameda,"1/2 mi n extreme e end Lake Chabot; Hayward, n of extreme e end Lake Chabot",,137,37.736881,-122.09288,1200,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3378713,cch2,,,,,,,,,
UC24208,3223198,1902-03-04,1902,3,4,63,,Flowering/Fruiting,Alameda,"San Leandro Creek San Francisco Bay Region, San Leandro Creek",,,37.74299,-122.07432,17020,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3223198,cch2,,,,,,,,,
UC131445,3157372,1903-04-25,1903,4,25,115,,Flowering/Fruiting,San Joaquin,"Tracy; ; Tracy, San Joaquin Co.",in sandy fields,,37.745274,-121.426834,1624,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157372,cch2,,,,,,,,,
UC24257,3148320,1862-05-19,1862,5,19,139,atomaria,Flowering/Fruiting,San Francisco,between Mission Dolores and sea; San Francisoc,between mission and the sea,,37.7745,-122.4591,3000,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3148320,cch2,,,,,,,,,
UC24204,3467616,1864-03-09,1864,3,9,69,,Flowering/Fruiting,Alameda,Oakland,,,37.80444,-122.26972,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3467616,cch2,,,,,,,,,
UC1069178,3163295,1936-04-07,1936,4,7,98,,Flowering/Fruiting,Tuolumne,"2.5 mi ene Greene Springs Mine; Copperopolis Quad., ene of Greene Springs Mine",Veg. Type: Grass; slope 2,384,37.8076,-120.5144,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3163295,cch2,,,,,,,,,
UC407074,3160117,1923-04-01,1923,4,1,91,,Flowering/Fruiting,Tuolumne,1 mi w Keystone; w of Keystone,,,37.83528,-120.52496,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3160117,cch2,,,,,,,,,
UC1069193,3549586,1935-03-13,1935,3,13,72,,Flowering/Fruiting,Contra Costa,"1 1/2 mi se Wall Pt.; Mt. Diablo Quad., se of Wall Pt.",Veg. Type: Gr Roadside fill (Gr underlined); 90% n slope,548,37.8454,-121.9243,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3549586,cch2,,,,,,,,,
UC1614660,3539754,1934-03-11,1934,3,11,70,,Flowering/Fruiting,Marin,"coast road to Ft. Baker Sausalito (Sausalito, near San Francisco Bay); near San Francisco Bay",e facing slope near bay,15,37.848286,-122.479706,2427,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3539754,cch2,,,,,,,,,
UC24214,3540557,1901-04-13,1901,4,13,103,,Flowering/Fruiting,Marin,Angel Island,,,37.86278,-122.43083,1658,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3540557,cch2,,,,,,,,,
UC606901,3187814,1938-03-24,1938,3,24,83,,Flowering/Fruiting,Alameda,"head Claremont Creek , head Claremont Creek (s slope Berkeley Hills)",rocky open sw slope w/Baccharis & Artemisia,335,37.86369,-122.234085,1971,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3187814,cch2,,,,,,,,,
UC880892,3567694,1941-03-13,1941,3,13,72,,Flowering/Fruiting,Contra Costa,3 mi w Byron; w of Byron,open grassy hills,30,37.86721,-121.69183,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3567694,cch2,,,,,,,,,
UC1614472,3283308,1935-02-24,1935,2,24,55,,Flowering/Fruiting,Alameda,"above Monument Hill Strawberry Canyon (Berkeley); , , above Monument Hill",back wall of canyon,,37.873528,-122.23781,1120,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3283308,cch2,,,,,,,,,
UC1614293,3283366,1935-03-17,1935,3,17,76,,Flowering/Fruiting,Alameda,"along w fence of Botanical Gardens Strawberry Canyon (Strawberry Canyon, Berkeley); Berkeley, Strawberry Canyon",middle of canyon along w fence of Botanical Gardens,,37.873528,-122.23781,1120,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3283366,cch2,,,,,,,,,
UC767672,3161331,1938-02-15,1938,2,15,46,atomaria,Flowering/Fruiting,Marin,Tiburon,,,37.87361,-122.45556,1559,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3161331,cch2,,,,,,,,,
UC1377696,3490354,1951-03-17,1951,3,17,76,,Flowering/Fruiting,Contra Costa,w Orinda; w of Orinda,grassy moist open hillside,,37.877434,-122.20395,2266,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3490354,cch2,,,,,,,,,
UC67148,3334917,1901-04-05,1901,4,5,95,,Flowering/Fruiting,Contra Costa,Mt. Diablo,,,37.88178,-121.91309,5414,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3334917,cch2,,,,,,,,,
UC480617,3504488,1928-02-22,1928,2,22,53,,Flowering/Fruiting,Contra Costa,Mt. Diablo,,,37.88178,-121.91309,5414,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3504488,cch2,,,,,,,,,
UC24202,3564901,1891-05-01,1891,5,1,121,,Flowering/Fruiting,Alameda,Grizzley Pk,,,37.882366,-122.23146,921,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3564901,cch2,,,,,,,,,
UC63943,3310480,1903-04-26,1903,4,26,116,,Flowering/Fruiting,Alameda,Berkeley Hills,,,37.88306,-122.2375,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3310480,cch2,,,,,,,,,
UC545381,3419459,1926-04-01,1926,4,1,91,,Flowering/Fruiting,Alameda,Berkeley Hills,,,37.88306,-122.2375,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3419459,cch2,,,,,,,,,
UC1278733,3160039,1947-04-13,1947,4,13,103,,Flowering/Fruiting,Tuolumne,"4 mi n Big Oak Flat (Deer Flat); , n of Big Oak Flat","grassy roadside, near No. 3727, but no intergrades",,37.88392,-120.25508,6153,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3160039,cch2,,,,,,,,,
UC24207,3320930,1902-04-12,1902,4,12,102,,Flowering/Fruiting,Alameda,"Berkeley Hills San Francisco Bay Region, Berkeley Hills",,,37.8931,-122.2717,2500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3320930,cch2,,,,,,,,,
UC126918,3490020,1906-04-17,1906,4,17,107,,Flowering/Fruiting,Alameda,hills near Berkeley; hills near Berkeley,,,37.8931,-122.2717,2500,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3490020,cch2,,,,,,,,,
UC24247,3151293,1891-03-29,1891,3,29,88,atomaria,Flowering/Fruiting,Marin,Mill Valley,,,37.90611,-122.54389,2171,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3151293,cch2,,,,,,,,,
UC1190350,3154000,1958-04-12,1958,4,12,102,,Flowering/Fruiting,Tuolumne,4.9 mi sw Tuolumne (along road to Groveland); sw of Tuolumne along road to Groveland,grassy slopes and roadside,,37.912895,-120.28319,325,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154000,cch2,,,,,,,,,
UC24246,3158504,1900-02-27,1900,2,26,57,atomaria,Flowering/Fruiting,Marin,s slope Mt. Tamalpais,,,37.914948,-122.589615,2910,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3158504,cch2,,,,,,,,,
UC404764,3153005,1930-04-10,1930,4,10,100,atomaria,Flowering/Fruiting,Marin,Corte Madera Corte Madera (in fields near highway),,3,37.92556,-122.52639,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3153005,cch2,,,,,,,,,
UC403299,3157950,1930-04-10,1930,4,10,100,atomaria,Flowering/Fruiting,Marin,Corte Madera,in fields near highway; abundant this year,3,37.925564,-122.52539,2237,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3157950,cch2,,,,,,,,,
UC24236,3357432,1899-04-08,1899,4,8,98,,Flowering/Fruiting,Marin,n slope Mt. Tamalpais,n slope,,37.9273,-122.59169,2910,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3357432,cch2,,,,,,,,,
UC880920,3457870,1913-03-16,1913,3,16,75,,Flowering/Fruiting,Marin,Mt. Tamalpais,,,37.9273,-122.59169,2910,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3457870,cch2,,,,,,,,,
UC1069180,3146789,1936-04-09,1936,4,9,100,,Flowering/Fruiting,Tuolumne,"2 1/2 mi se Standard; Sonora Quad., se of Standard",Veg. Type: Grass; slope 3,822,37.9372,-120.2759,805,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3146789,cch2,,,,,,,,,
UC691704,3322685,1931-03-08,1931,3,8,67,,Flowering/Fruiting,Contra Costa,"Mitchell Canyon , Mitchell Canyon (Mount Diablo)","half shady, w bank",304,37.94111,-121.93472,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3322685,cch2,,,,,,,,,
UC67147,3200544,1900-03-23,1900,3,23,82,,Flowering/Fruiting,Contra Costa,"Briones Hills San Francisco Bay Region, Briones Hills",,,37.94306,-122.14556,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3200544,cch2,,,,,,,,,
UC197341,3210919,1887-04-01,1887,4,1,91,,Flowering/Fruiting,Marin,Ross Valley,,,37.94889,-122.54389,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3210919,cch2,,,,,,,,,
UC403372,3156890,1930-04-10,1930,4,10,100,atomaria,Flowering/Fruiting,Marin,"Ross district , Ross district (Lake Phoenix)",,30,37.959026,-122.569466,818,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3156890,cch2,,,,,,,,,
UC1021927,3163285,1955-04-05,1955,4,5,95,atomaria,Flowering/Fruiting,Marin,Bolinas-Fairfax road between Golf Course and Alpine Lake Dam; between Golf Course and Alpine Lake Dam,between Golf Course and dam,,37.959053,-122.628586,2115,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3163285,cch2,,,,,,,,,
UC735053,3164021,1946-03-22,1946,3,22,81,atomaria,Flowering/Fruiting,Marin,"2 mi sw Fairfax (junction of Alpine Lake Road with Pine Mountain fire trail); sw of Fairfax, jct Alpine Lake rd w Pine Mountain fire trail",damp loam of open grassy spot on serpentine ridge; road with fire trail,167,37.962894,-122.60368,2739,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3164021,cch2,,,,,,,,,
UC1069166,3281090,1935-04-24,1935,4,24,114,,Flowering/Fruiting,Calaveras,"3 1/2 mi sw Hodson; Copperopolis Quad., sw of Hodson",Veg. Type: Wood. Gr (Gr underlined); nne slope,304,37.96648,-120.713326,1189,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3281090,cch2,,,,,,,,,
UC1301147,3149030,1963-03-09,1963,3,9,68,atomaria,Flowering/Fruiting,Marin,"Alpine Dam Road above Fairfax; San Francisco Bay Region, above Fairfax",open grassy slope,243,37.969215,-122.62434,3891,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3149030,cch2,,,,,,,,,
UC880919,3155269,1919-04-11,1919,4,11,101,,Flowering/Fruiting,Tuolumne,near French Flat; near French Flat,grain field,365,37.97222,-120.47028,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3155269,cch2,,,,,,,,,
UC1602052,3156650,1891-04-01,1891,4,1,91,atomaria,Flowering/Fruiting,Marin,Fairfax,,,37.98722,-122.58778,2564,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3156650,cch2,,,,,,,,,
UC24255,3159549,1892-04-01,1892,4,1,92,atomaria,Flowering/Fruiting,Marin,Fairfax,,,37.98722,-122.58778,2564,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3159549,cch2,,,,,,,,,
UC880904,3154158,1938-05-07,1938,5,7,127,atomaria,Flowering/Fruiting,Marin,"Point Reyes near the lighthouse grounds (on western slope of coastal bluff); Point Reyes, nar the lighthouse grounds","near the lighthouse grounds, plants in dense mat of vegetation on western slope of coastal bluff",121,37.99583,-123.02222,2427,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154158,cch2,,,,,,,,,
UC1069197,3146786,1934-03-18,1934,3,18,77,atomaria,Flowering/Fruiting,Marin,"Point Reyes Point Reyes Quad., Point Reyes",Veg. Type: Grass,182,37.9965,-123.0162,100,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3146786,cch2,,,,,,,,,
UC24234,3503943,1895-04-07,1895,4,7,97,,Flowering/Fruiting,Contra Costa,Antioch,,,38.005,-121.80472,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3503943,cch2,,,,,,,,,
UC592190,3297802,1932-03-20,1932,3,20,80,,Flowering/Fruiting,Contra Costa,Antioch sand hills,sand hills,,38.015244,-121.78886,890,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3297802,cch2,,,,,,,,,
UC914286,3384637,1947-04-06,1947,4,6,96,,Flowering/Fruiting,Marin,"12 mi from Inverness (Point Reyes Peninsula); , 12 mi from Inverness",sandy area,,38.02368,-122.98726,5668,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3384637,cch2,,,,,,,,,
UC24249,3152186,1894-03-31,1894,3,31,90,atomaria,Flowering/Fruiting,Marin,Olema,,,38.040913,-122.78589,1622,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3152186,cch2,,,,,,,,,
UC592134,3155791,1928-03-24,1928,3,24,84,atomaria,Flowering/Fruiting,Marin,"Millerton , Millerton (Tomales Bay)",,,38.109177,-122.84334,3053,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3155791,cch2,,,,,,,,,
UC880895,3154161,1941-05-13,1941,5,13,133,atomaria,Flowering/Fruiting,Marin,"6 mi w Novato (Hicks Valley); , w of Novato",open fields,60,38.119377,-122.66563,7041,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3154161,cch2,,,,,,,,,
UC1069198,3161694,1936-04-12,1936,4,12,103,atomaria,Flowering/Fruiting,Marin,".2 mi e Pierce's Ranch; Point Reyes Quad., e of Pierce's Ranch",Veg. Type: Grass,76,38.193435,-122.95136,545,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3161694,cch2,,,,,,,,,
UC579895,3160145,1934-04-29,1934,4,29,119,atomaria,Flowering/Fruiting,Marin,1.6 mi w Estero District School (roadside swale 10 mi nw of Tomales); nw of Tomales,roadside swale,,38.291855,-122.96805,254,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3160145,cch2,,,,,,,,,
UC24253,3154072,1891-03-01,1891,3,1,60,atomaria,Flowering/Fruiting,Sonoma,Sonoma,,,38.29194,-122.45694,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3154072,cch2,,,,,,,,,
UC107228,3232294,1901-04-01,1901,4,1,91,,Flowering/Fruiting,Sonoma,Bodega,,,38.345707,-122.97271,370,,,NAD27,http://cch2.org/portal/collections/individual/index.php?occid=3232294,cch2,,,,,,,,,
UC67143,3505748,1902-03-21,1902,3,21,80,,Flowering/Fruiting,Solano,Vacaville,,,38.36104,-121.97021,8808,,,WGS84,http://cch2.org/portal/collections/individual/index.php?occid=3505748,cch2,,,,,,,,,
UC24263,3151296,1902-03-31,1902,3,31,90,atomaria,Flowering/Fruiting,Sonoma,Kenwood,,,38.41389,-122.545,,,,,http://cch2.org/portal/collections/individual/index.php?occid=3151296,cch2,,,,,,,,,
