X1,specimen_number,taxon name,collector,coll_number_prefix,coll_number,coll_number_suffix,collection_date,late_collection_date,verbatim_date,county,elevation,locality,latitude,longitude,datum,source,error_distance,units,citation,doy,new_error_distance_m
916,HSC97503,Nemophila menziesii var. atomaria,C. Witte,NA,1,NA,5/8/2007,5/8/2007,5/8/2007,Humboldt,1410 m,Cold Spring. 1/2 mile south of Titlow Hill.,40.8341,-123.7133,WGS84,"""Baldwin et al. (2017), Master spatial file""",46,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),128,46
917,JEPS110848,Nemophila menziesii var. atomaria,Jake Ruygt,NA,3904,NA,4/11/1998,4/11/1998,4/11/1998,Napa,579 m,Langtry Road at Napa/Sonoma County line.,38.4957,-122.5283,not recorded,trs2ll,0.5,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),101,804.67
918,JEPS1477,Nemophila menziesii var. atomaria,Eleanor Armstrong,NA,748,NA,4/15/1933,4/15/1933,4/15/1933,Sonoma,6 m,Bodega Hill,38.341915,-123.020676,WGS84,"""Baldwin et al. (2017), Master spatial file""",1,kilometers,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,1000
919,JEPS1791,Nemophila menziesii var. atomaria,Lincoln Constance,NA,879,NA,6/15/1934,6/15/1934,6/15/1934,Humboldt,975 m,"""summit of Grasshopper Peak; Bull Creek Region, South Fork Eel River, Grasshopper Peak""",40.3077,-123.9767,WGS84,"""Baldwin et al. (2017), Master spatial file""",266,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),166,266
920,JEPS1879,Nemophila menziesii var. atomaria,Ruby Van Deventer,NA,31,NA,4/17/1938,4/17/1938,4/17/1938,Del Norte,45 m,"""Gasquet , Gasquet (Bonnar Flat)""",41.84556,-123.96833,not recorded,"""Biogeomancer, inferred""",1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),107,1622.21472
921,JEPS1880,Nemophila menziesii var. atomaria,Mrs. Mary Van E. Ferguson,NA,NA,NA,4/13/1919,4/13/1919,4/13/1919,Napa,NA,near Atlas; near Atlas,38.4504,-122.2624,WGS84,"""Baldwin et al. (2017), Master spatial file""",2.775,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,2775
922,JEPS1881,Nemophila menziesii var. atomaria,Ruby Van Deventer,NA,23,NA,4/10/1938,4/10/1938,4/10/1938,Del Norte,7 m,Smith River Indian Reservation,41.95361,-124.20139,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,NA
923,JEPS1883,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,9928,NA,5/10/1932,5/10/1932,5/10/1932,Humboldt,609 m,"""Bear River Ridge , Bear River Ridge (Northern Coast Ranges)""",40.459929,-124.205192,WGS84,GeoLocate (copied from GH384958),1.468,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),131,1468
924,JEPS1885,Nemophila menziesii var. atomaria,Mrs. Mary Van E. Ferguson,NA,205,NA,4/13/1919,4/13/1919,4/13/1919,Napa,NA,near Atlas; near Atlas,38.4504,-122.2624,WGS84,"""Baldwin et al. (2017), Master spatial file""",2.775,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,2775
925,JEPS1886,Nemophila menziesii var. atomaria,Ruby Van Deventer,NA,87,NA,4/17/1938,4/17/1938,4/17/1938,Del Norte,152 m,"""Bonner Flat , Bonner Flat (Gasquet-Low Divide Trail)""",41.880707,-123.995575,not recorded,"""Terrain Navigator 1:24,000""",5.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),107,8059.57472
926,JEPS1887,Nemophila menziesii var. atomaria,L. Constance,NA,2158,NA,4/24/1938,4/24/1938,4/24/1938,Sonoma,91 m,mouth of small canyon 0.5 mi s Fort Ross; s of Fort Ross,38.51387,-123.23447,not recorded,Terrain Navigator,1.053,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,1694.63502
927,JEPS1906,Nemophila menziesii var. atomaria,Ruby Van Deventer,NA,70,NA,7/4/1937,7/4/1937,7/4/1937,Del Norte,152 m,Gasquet,41.84556,-123.96833,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),185,NA
928,JEPS35787,Nemophila menziesii var. atomaria,"""Rimo Bacigalupi, R. Ornduff, L. Heckard""",NA,8928,NA,3/25/1964,3/25/1964,3/25/1964,Sonoma,35 m,plowed field just off Arnold Drive at its junction with Fowler Creek Road (Sonoma Valley); Sonoma Valley,38.28706,-122.49319,not recorded,Terrain Navigator,0.421,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),85,677.53214
929,JEPS77206,Nemophila menziesii var. atomaria,Robert M. Lloyd,NA,2353,NA,4/24/1963,4/24/1963,4/24/1963,Marin,274 m,on Bolinas Road 5 mi s Fairfax,37.961857,-122.62954,not recorded,"""Terrain Navigator 1:24,000""",2.602,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,4187.50268
930,POM179734,Nemophila menziesii var. atomaria,A. A. Heller,NA,6600,NA,4/23/1903,4/23/1903,4/23/1903,Sonoma,NA,Fort Ross.,38.5152,-123.24392,WGS84,GoogleMaps via BerkeleyMapper (copied from DS3246),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),113,500
931,RSA114997,Nemophila menziesii var. atomaria,"""E. K. Balls, Lee W. Lenz""",NA,20740,NA,5/15/1955,5/15/1955,5/15/1955,Humboldt,335m,13.5 miles southwest from Ferndale along Old Coast road to Capetown.,40.92292,-123.80674,WGS84,GoogleMaps via BerkeleyMapper (copied from RSA113893),160,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),135,160
932,RSA33408,Nemophila menziesii var. atomaria,Doris K. Kildale,NA,4265,NA,2/19/1929,2/19/1929,2/19/1929,Humboldt,NA,Little River.,40.991,-124.105,NAD27,Terrain Navigator (inferred) (copied from UC725642),5,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),50,8046.7
933,SBBG133171,Nemophila menziesii var. atomaria,K. Merk,NA,NA,NA,3/25/2009,3/25/2009,3/25/2009,Santa Barbara,30m,N-central mesa between W slope of eastern drainage feature just E (10 m) and downslope of NS trending trail; More Mesa,34.422,-119.794,not recorded,Label (GPS),500,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,500
934,SBBG6129,Nemophila menziesii var. atomaria,H. and M. Dearing,NA,3424,NA,4/24/1939,4/24/1939,4/24/1939,Humboldt,NA,near Dyerville,40.356,-123.923,NA,MyTopo,5000,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,5000
935,SBBG6137,Nemophila menziesii var. atomaria,H. and M. Dearing,NA,3359,NA,5/14/1939,5/14/1939,5/14/1939,Sonoma,NA,Bodega State Park [Bodega Dunes State Beach],38.336,-123.063,NA,MyTopo,3000,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),134,3000
936,SD44664,Nemophila menziesii var. atomaria,Darley F. Howe,NA,2087,NA,4/28/1951,4/28/1951,4/28/1951,Monterey,762 m,Santa Lucia Mtns.,36.1291,-121.5213,WGS84,"""Baldwin et al. (2017), Master spatial file""",40.795,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),118,40795
937,SJSU15867,Nemophila menziesii var. atomaria,"""John Rawlings, Ken Hickman""",NA,1674,NA,2/28/2016,2/28/2016,2/28/2016,Santa Clara,757 m,Mt Umunhum; west-facing slope below Summit Trail,37.15769,-121.88555,NA,Collector GPS,NA,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),59,NA
938,UC1021927,Nemophila menziesii var. atomaria,Rolf Y. Berg,NA,NA,NA,4/5/1955,4/5/1955,4/5/1955,Marin,NA,Bolinas-Fairfax road between Golf Course and Alpine Lake Dam; between Golf Course and Alpine Lake Dam,37.959053,-122.628586,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.314,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),95,2114.67276
939,UC1069197,Nemophila menziesii var. atomaria,A. E. Wieslander,NA,422,NA,3/18/1934,3/18/1934,3/18/1934,Marin,NA,"""Point Reyes Point Reyes Quad., Point Reyes""",37.9965,-123.0162,not recorded,BerkeleyMapper,100,meters,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),77,100
940,UC1069198,Nemophila menziesii var. atomaria,B. Schreiber,NA,2181,NA,4/12/1936,4/12/1936,4/12/1936,Marin,76 m,""".2 mi e Pierce's Ranch; Point Reyes Quad., e of Pierce's Ranch""",38.193435,-122.95136,not recorded,Geolocate,545,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,545
941,UC1103811,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,6065,NA,5/29/1922,5/29/1922,5/29/1922,Humboldt,762 m,"""South Yager Creek Valley Northern Coast Ranges, South Yager Creek Valley""",40.553,-123.8412,WGS84,"""Baldwin et al. (2017), Master spatial file""",1.725,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),149,1725
942,UC1301147,Nemophila menziesii var. atomaria,Helen K. Sharsmith,NA,5198,NA,3/9/1963,3/9/1963,3/9/1963,Marin,243 m,"""Alpine Dam Road above Fairfax; San Francisco Bay Region, above Fairfax""",37.969215,-122.62434,not recorded,"""Terrain Navigator 1:24,000""",2.418,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),68,3891.38412
943,UC146183,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,2645,NA,6/9/1908,6/9/1908,6/9/1908,Humboldt,762 m,"""Kneeland Prairie Northern Coast Ranges, Kneeland Prairie""",40.761459,-123.993019,NAD27,Terrain Navigator Pro (copied from UC1199304),1.008,mi,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),161,1622.21472
944,UC163963,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,2445,NA,5/6/1906,5/6/1906,5/6/1906,Humboldt,60 m,near Hydesville; near Hydesville,40.5432,-124.1006,NAD27,(copied from UC1196850),2,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),126,2000
945,UC24246,Nemophila menziesii var. atomaria,Harley P. Chandler,NA,485,NA,2/26/1900,2/26/1900,2/26/1900,Marin,NA,s slope Mt. Tamalpais,37.914948,-122.589615,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.808,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),57,2909.68672
946,UC24247,Nemophila menziesii var. atomaria,W. L. Jepson,NA,NA,NA,1891-03-29,1891-03-29,1891-03-29,Marin,NA,Mill Valley,37.90611,-122.54389,not recorded,"""Terrain Navigator 1:24,000""",1.349,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,2170.99966
947,UC24249,Nemophila menziesii var. atomaria,J. Burtt Davy,NA,681,NA,1894-03-31,1894-03-31,1894-03-31,Marin,NA,Olema,38.040913,-122.78589,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,1622.21472
948,UC24254,Nemophila menziesii var. atomaria,unknown,NA,NA,NA,1898-01-01,1898-01-01,1898-01-01,Mendocino,NA,Round Valley,39.78802,-123.238846,not recorded,Terrain Navigator (inferred),4.13,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),1,6646.5742
949,UC24257,Nemophila menziesii var. atomaria,W. H. Brewer,NA,907,NA,1862-05-19,1862-05-19,1862-05-19,San Francisco,NA,between Mission Dolores and sea; San Francisoc,37.7745,-122.4591,not recorded,GoogleMaps via BerkeleyMapper (copied fr,3,kilometers,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),139,3000
950,UC24263,Nemophila menziesii var. atomaria,Milo S. Baker,NA,NA,NA,3/31/1902,3/31/1902,3/31/1902,Sonoma,NA,Kenwood,38.41389,-122.545,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),90,NA
951,UC249523,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,6055,NA,5/28/1922,5/28/1922,5/28/1922,Humboldt,6 m,Little River Beach Northern Coast Ranges,41.01909,-124.10333,NAD27,"""Baldwin et al. (2017), Master spatial file""",1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),148,1622.21472
952,UC249525,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,6026,NA,4/30/1922,4/30/1922,4/30/1922,Humboldt,152 m,"""near Willow Creek (Trinity River Valley); Northern Coast Ranges, , nr Willow Creek""",40.944,-123.6319,WGS84,"""Baldwin et al. (2017), Master spatial file""",1.328,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),120,1328
953,UC403299,Nemophila menziesii var. atomaria,H. E. and S. T. Parks,NA,461,NA,4/10/1930,4/10/1930,4/10/1930,Marin,3 m,Corte Madera,37.925564,-122.52539,not recorded,"""Terrain Navigator 1:24,000""",1.39,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,2236.9826
954,UC403372,Nemophila menziesii var. atomaria,H. E. and S. T. Parks,NA,465,NA,4/10/1930,4/10/1930,4/10/1930,Marin,30 m,"""Ross district , Ross district (Lake Phoenix)""",37.959026,-122.569466,not recorded,Terrain Navigator 5.03 USGS 1:24000,0.508,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),100,817.54472
955,UC410629,Nemophila menziesii var. atomaria,Alice Eastwood,NA,15067,NA,3/29/1928,3/29/1928,3/29/1928,Del Norte,NA,flats near Adams Station; near Adams Station,41.84278,-123.99139,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),89,NA
956,UC449915,Nemophila menziesii var. atomaria,H. S. Yates,NA,273,NA,5/15/1914,5/15/1914,5/15/1914,Trinity,624 m,near Weaverville; near Weaverville,40.73111,-122.94083,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),135,NA
957,UC562583,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,7464,NA,5/9/1926,5/9/1926,5/9/1926,Humboldt,762 m,Valley of South Yager Creek,40.5529,-123.8408,WGS84,"""Baldwin et al. (2017), Master spatial file""",1.875,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),129,1875
958,UC562585,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,9928,NA,5/10/1932,5/10/1932,5/10/1932,Humboldt,609 m,"""Bear River Ridge , Bear River Ridge (Northern Coast Ranges)""",40.4599,-124.2052,WGS84,GeoLocate (copied from GH384958),1.468,km,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),131,1468
959,UC562587,Nemophila menziesii var. atomaria,H. E. Parks and Joseph P. Tracy,NA,12025,NA,4/22/1933,4/22/1933,4/22/1933,Del Norte,152 m,Coast Bluffs 5 mi s Crescent City; Coast Bluffs 5 mi s of Crescent City,41.749508,-124.194595,not recorded,"""Terrain Navigator, inferred""",1.008,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),112,1622.21472
960,UC579895,Nemophila menziesii var. atomaria,Annetta Carter,NA,521,NA,4/29/1934,4/29/1934,4/29/1934,Marin,NA,1.6 mi w Estero District School (roadside swale 10 mi nw of Tomales); nw of Tomales,38.291855,-122.96805,not recorded,Terrain Navigator 5.03 USGS 1:24000,0.158,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),119,254.27572
961,UC58514,Nemophila menziesii var. atomaria,A. A. Heller,NA,6600,NA,4/23/1903,4/23/1903,4/23/1903,Sonoma,NA,Fort Ross,38.51417,-123.2425,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),113,NA
962,UC592134,Nemophila menziesii var. atomaria,H. L. Mason,NA,4268,NA,3/24/1928,3/24/1928,3/24/1928,Marin,NA,"""Millerton , Millerton (Tomales Bay)""",38.109177,-122.84334,not recorded,"""Terrain Navigator 1:24,000""",1.897,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),84,3052.91798
963,UC606952,Nemophila menziesii var. atomaria,L. Constance,NA,2158,NA,4/24/1938,4/24/1938,4/24/1938,Sonoma,91 m,mouth of small canyon 0.5 mi s Fort Ross; s of Fort Ross,38.51387,-123.23447,not recorded,Terrain Navigator,1.053,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,1694.63502
964,UC67150,Nemophila menziesii var. atomaria,Harley P. Chandler,NA,800,NA,3/15/1901,3/15/1901,3/15/1901,San Mateo,NA,"""cliffs w Colma; Region of San Francisco Bay, w of Colma""",37.673225,-122.474915,not recorded,"""Terrain Navigator, inferred""",1.258,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),74,2024.54972
965,UC72013,Nemophila menziesii var. atomaria,Milo S. Baker,NA,738,NA,1898-03-26,1898-03-26,1898-03-26,Sonoma,NA,near Melita; near Melita,38.45667,-122.63583,not recorded,Biogeomancer,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),85,NA
966,UC735053,Nemophila menziesii var. atomaria,"""Lincoln Constance, James Ashley, Herbert L. Mason""",NA,3028,NA,3/22/1946,3/22/1946,3/22/1946,Marin,167 m,"""2 mi sw Fairfax (junction of Alpine Lake Road with Pine Mountain fire trail); sw of Fairfax, jct Alpine Lake rd w Pine Mountain fire trail""",37.962894,-122.60368,not recorded,"""Terrain Navigator 1:24,000""",1.702,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),81,2739.09668
967,UC767672,Nemophila menziesii var. atomaria,R. F. Hoover,NA,2741,NA,2/15/1938,2/15/1938,2/15/1938,Marin,NA,Tiburon,37.87361,-122.45556,not recorded,"""Terrain Navigator 1:24,000""",0.969,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),46,1559.45046
968,UC880865,Nemophila menziesii var. atomaria,Lewis S. Rose,NA,39077,NA,4/23/1939,4/23/1939,4/23/1939,Marin,45 m,Nicasio,38.061745,-122.69831,not recorded,Terrain Navigator 5.03 USGS 1:24000,0.508,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),113,817.54472
969,UC880895,Nemophila menziesii var. atomaria,Lewis S. Rose,NA,41226,NA,5/13/1941,5/13/1941,5/13/1941,Marin,60 m,"""6 mi w Novato (Hicks Valley); , w of Novato""",38.119377,-122.66563,not recorded,"""Terrain Navigator 1:24,000""",4.375,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),133,7040.8625
970,UC880904,Nemophila menziesii var. atomaria,Frank W. Gould,NA,363,NA,5/7/1938,5/7/1938,5/7/1938,Marin,121 m,"""Point Reyes near the lighthouse grounds (on western slope of coastal bluff); Point Reyes, nar the lighthouse grounds""",37.99583,-123.02222,not recorded,Terrain Navigator 5.03 USGS 1:24000,1.508,miles,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),127,2426.88472
971,UCD158879,Nemophila menziesii var. atomaria,James A. Neilson Jr.,s.n.,NA,NA,3/27/1975,3/27/1975,3/27/1975,Sonoma,426 m,Mayacmas Mountains. The Geysers. Site A-8. (Elevation estimated using Google Earth by label maker.),38.799444,-122.830833,WGS84,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),86,NA
972,UCD159790,Nemophila menziesii var. atomaria,James A. Neilson Jr.,NA,3135,NA,4/13/1975,4/13/1975,4/13/1975,Napa,60 m,"""Soda Canyon Road, near outlet of canyon.""",38.374167,-122.281111,WGS84,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),103,NA
973,UCD160061,Nemophila menziesii var. atomaria,James A. Neilson Jr.,NA,3126,NA,4/9/1975,4/9/1975,4/9/1975,Sonoma,609 m,"""Mayacmas Mountains, Hilary Farms. (Exact location unknown. Elevation and coordinates estimated by label maker.)""",38.845556,-122.938889,WGS84,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,NA
974,UCR133547,Nemophila menziesii var. atomaria,E. K. Balls,NA,7841,NA,2/27/1948,2/27/1948,2/27/1948,Monterey,213 m,"""Central Coast, Carmel Highlands, above Yankee Point""",36.49028,-121.93056,not recorded,TopoZoneACS,NA,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),58,NA
975,UCR37590,Nemophila menziesii var. atomaria,L. P. Janeway,NA,233,NA,4/16/1983,4/16/1983,4/16/1983,Humboldt,823 m,Near the old Hwy 299 on W side of Berry Summit,40.89553,-123.77347,not recorded,GeoReferenceCA,NA,m,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),106,NA
976,HSC13578,Nemophila menziesii var. atomaria,D. E. Anderson,NA,1927,NA,3/4/1962,3/4/1962,3/4/1962,Humboldt,NA,About 2 mi. S of Trinidad,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),63,NA
977,HSC13582,Nemophila menziesii var. atomaria,Doris K. Kildale,NA,1517,NA,2/27/1926,2/27/1926,2/27/1926,Humboldt,NA,Big Rock at Little River,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),58,NA
978,HSC13603,Nemophila menziesii var. atomaria,D. E. Anderson,NA,1911,NA,2/10/1962,2/10/1962,2/10/1962,Humboldt,NA,1 mi. S of Trinidad,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),41,NA
979,HSC13604,Nemophila menziesii var. atomaria,D. J. Jager,NA,43,NA,4/15/1965,4/15/1965,4/15/1965,Mendocino,335 m,"""2 mi. S of Talmage along Mill Creek Rd., above upper reservoir""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),105,NA
980,HSC34946,Nemophila menziesii var. atomaria,Robert M. Specht,NA,120,NA,4/9/1975,4/9/1975,4/9/1975,Humboldt,30 m,2 3/4 mi. N of Trinidad at Scotty Point,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),99,NA
981,HSC38261,Nemophila menziesii var. atomaria,"""Thomas W. Nelson, James Nelson""",NA,2268,NA,3/11/1976,3/11/1976,3/11/1976,Humboldt,NA,Beside Bridgeville-Kneeland Rd. at jct. with Redwood House Rd.,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),71,NA
982,HSC39198,Nemophila menziesii var. atomaria,"""D. E. Anderson, J. P. Smith""",-,1326,NA,7/6/1971,7/6/1971,7/6/1971,Humboldt,NA,"""1.0 mi. W of Pine Ridge Summit, 6 mi. E of junction with Redwood Valley Rd.""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),187,NA
983,HSC71028,Nemophila menziesii var. atomaria,Thomas W. Nelson,NA,3320,NA,4/20/1977,4/20/1977,4/20/1977,Humboldt,915 m,Along FS 1N15 between Hwy. 36 and summit,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),110,NA
984,JEPS110862,Nemophila menziesii var. atomaria,Jake Ruygt,NA,3409,NA,3/21/1995,3/21/1995,3/21/1995,Napa,108 m,In small meadow on floodplain of creek; igneous rock; Mixed Evergreen Forest,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),80,NA
985,JEPS1878,Nemophila menziesii var. atomaria,Willis L. Jepson,NA,15095,NA,1893-04-25,1893-04-25,1893-04-25,Napa,NA,"""trail to Caux's Cabin Napa River Basin, = Mts. n of St. Helena (Napa River Basin, = Mts. n of St. Helena)""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),115,NA
986,JEPS1882,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,7903,NA,4/17/1927,4/17/1927,4/17/1927,Humboldt,274 m,NA,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),107,NA
987,POM248998,Nemophila menziesii var. atomaria,Lincoln Constance,NA,2158,NA,4/24/1938,4/24/1938,4/24/1938,Sonoma,91m,"""Mouth of small canyon, 0.5 mile south of Fort Ross.""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),114,NA
988,POM273280,Nemophila menziesii var. atomaria,Glenn A. Gorelick,s.n.,NA,NA,3/22/1966,3/22/1966,3/22/1966,Solano,NA,"""5 miles south Rockville, along Rockville Road.""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),81,NA
989,POM289746,Nemophila menziesii var. atomaria,Lyman Benson,NA,777,NA,3/25/1928,3/25/1928,3/25/1928,Mendocino,549m,Cloverdale-Hopland. Middle North Coast. Russian River.,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),85,NA
990,POM65260,Nemophila menziesii var. atomaria,"""A. A. Heller, H. E. Brown""",NA,5181,NA,3/29/1902,3/29/1902,3/29/1902,Sonoma,NA,Bodega Bay,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),88,NA
991,POM73962,Nemophila menziesii var. atomaria,Joseph P. Tracy,NA,2445,NA,5/6/1906,5/6/1906,5/6/1906,Humboldt,60m,Near Hydesville.,NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),126,NA
992,RSA101011,Nemophila menziesii var. atomaria,G. Oberlander,NA,569,NA,4/2/1950,4/2/1950,4/2/1950,San Mateo,NA,"""Near San Andreas Lake, San Francisco Watershed Reserve""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),92,NA
993,RSA10994,Nemophila menziesii var. atomaria,Carl B. Wolf,NA,1529,NA,2/26/1928,2/26/1928,2/26/1928,Mendocino,NA,"""On Hopland Grade, 3 miles south of Hopland.""",NA,NA,NA,NA,NA,NA,Data provided by the participants of the Consortium of California Herbaria (ucjeps.berkeley.edu/consortium/),57,NA
